Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"December 4, 2017",Recently Added,Made in Chelsea,2012,14,9,Episode 9,{}
"December 4, 2017",Recently Added,Love & Hip Hop: New York,2011,8,6,Puppy Love,{}
"December 4, 2017",Recently Added,Lucifer,2016,3,9,The Sinnerman,"{""hulu""=>[""1185898""]}"
"December 4, 2017",Recently Added,Murdoch Mysteries,2008,11,8,Brakenreid Boudoir,{}
"December 4, 2017",Recently Added,Supergirl,2015,3,9,Reign,{}
"December 5, 2017",Recently Added,The Voice,2011,13,23,Live Top 10 Eliminations,{}
"December 4, 2017",Recently Added,Man With a Plan,2016,2,4,Into the Weeds,{}
"December 4, 2017",Recently Added,The Gifted,2017,1,9,outfoX,{}
"December 4, 2017",Recently Added,Long Island Medium,2011,10,5,Southern Fried Spirit,{}
"December 4, 2017",Recently Added,Ride with Norman Reedus,2016,2,6,My New York,{}
"December 4, 2017",Recently Added,Street Outlaws,2013,11,2,Going for the Jugular,{}
"December 4, 2017",Recently Added,Superior Donuts,2017,2,6,Error of Admission,{}
"December 4, 2017",Recently Added,Teen Mom OG,2015,5,3,Too Shady,{}
"December 4, 2017",Recently Added,Travelers,2016,2,8,Traveler 0027,{}
"December 4, 2017",Recently Added,Valor,2017,1,8,About-Face,{}
"December 4, 2017",Recently Added,Vanderpump Rules,2013,6,1,Masquerade,{}
"December 4, 2017",Recently Added,9JKL,2017,1,10,The Family Plot,{}
"December 4, 2017",Recently Added,Floribama Shore,2017,1,3,Dollar Draft Beer People,{}
"December 4, 2017",Recently Added,The Good Doctor,2017,1,10,Sacrifice,"{""hulu""=>[""1185819""]}"
"December 4, 2017",Recently Added,Teen Mom OG,2015,5,3,Too Shady,{}
"December 4, 2017",Recently Added,Ill Behaviour,2017,1,4,Episode 4,{}
"December 5, 2017",Recently Added,Conan,2010,7,131,"Jean-Claude Van Damme, Barkhad Abdi, Dina Hashem",{}
"December 5, 2017",Recently Added,The Daily Show,1996,23,167,Episode 167,{}
"December 5, 2017",Recently Added,The Opposition With Jordan Klepper,2017,1,34,Daniel Ellsberg,{}
"December 5, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,188,"Saoirse Ronan, Van Jones, Morrissey",{}
"December 5, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,186,"Kate McKinnon, Patton Oswalt, Wiz Khalifa featuring Ty Dolla $ign",{}
