Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 17, 2017",Adventure Time with Finn & Jake,2010,8,24,Abstract,{}
"July 12, 2017",Catfish: The TV Show,2012,6,18,April & Dean,"{""amazon""=>[""B073WM9Z59"", ""B073WN9J8C""]}"
"July 17, 2017",Love & Hip Hop: Atlanta,2012,6,18,The Reunion: Part 2,{}
"July 17, 2017",Shadowhunters,2016,2,16,Day of Atonement,{}
"July 10, 2017",So You Think You Can Dance,2005,14,4,New York Auditions No. 2,{}
"July 10, 2017",The Bachelorette,2003,13,7,Episode 7,{}
"July 10, 2017",American Ninja Warrior,2010,9,5,Cleveland Qualifiers,"{""amazon""=>[""B073V5VB1P"", ""B073V6FPG7""]}"
"July 10, 2017",Counting On,2015,3,6,Joy Gets Engaged,"{""amazon""=>[""B073V32T2B"", ""B073V2XM7G""]}"
"July 10, 2017",Kate Plus 8,2010,6,1,A Haunting at the Gosselins,{}
"July 10, 2017",Stitchers,2015,3,5,Paternis,"{""amazon""=>[""B073V825TK"", ""B073V85ZN2""]}"
"July 10, 2017",The Real Housewives of Orange County,2006,12,1,The Great Divide,"{""itunes""=>[""1257557558""], ""amazon""=>[""B073V5KP1D"", ""B073V5TTPT""]}"
"July 10, 2017",Whose Line Is It Anyway?,1998,13,5,Wil Wheaton,{}
"July 10, 2017",Will,2017,1,2,Cowards Die Many Times,"{""itunes""=>[""1256792183""], ""amazon""=>[""B073SK9RGP"", ""B073SKL6J6""]}"
"July 10, 2017",Pawn Stars,2009,14,19,Masonic Pawn,"{""amazon""=>[""B073V2VGMX"", ""B073V3D8SS""]}"
"July 10, 2017",Preacher,2016,2,4,Viktor,"{""itunes""=>[""1257848321""], ""amazon""=>[""B073SFMSK4"", ""B073SG6KNV""]}"
