Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"February 11, 2018",Recently Added,Call the Midwife,2012,7,4,Episode 4,{}
"February 11, 2018",Recently Added,Endeavour,2012,5,2,Cartouche,{}
"February 12, 2018",Recently Added,2018 Winter Olympics,2018,1,4,"Olympics 2018 Prime Time: Alpine Skiing, Snowboarding, Speed Skating",{}
"February 11, 2018",Recently Added,One Piece,1999,8,825,A Liar! Luffy and Sanji!!,{}
"February 12, 2018",Recently Added,Celebrity Big Brother,2018,1,5,Episode 5,{}
"February 11, 2018",Recently Added,Counterpart,2018,1,4,Both Sides Now,{}
"February 11, 2018",Recently Added,Our Cartoon President,2018,1,2,Disaster Response,"{""showtimeanytime""=>[""3456346""]}"
"February 11, 2018",Recently Added,The Real Housewives of Atlanta,2008,10,12,Peaches Be Trippin',{}
"February 11, 2018",Recently Added,Sister Wives,2010,9,5,PolygaMexicamist Wedding,{}
"February 11, 2018",Recently Added,Our Cartoon President,2018,1,2,Disaster Response,"{""showtimeanytime""=>[""3456346""]}"
"February 11, 2018",Recently Added,Star Trek: Discovery,2017,1,15,Will You Take My Hand?,{}
"February 11, 2018",Recently Added,Homeland,2011,7,1,Enemy of the State,"{""showtimeanytime""=>[""3454717""]}"
"February 11, 2018",Recently Added,Keeping Up with the Kardashians,2007,14,17,Tangled Web,{}
"February 11, 2018",Recently Added,Shark Tank,2009,9,22,Episode 22,{}
"February 11, 2018",Recently Added,The Chi,2018,1,5,Today Was a Good Day,"{""showtimeanytime""=>[""3451919""]}"
"February 11, 2018",Recently Added,Divorce,2016,2,5,Breaking the Ice,"{""hbogo""=>[""GWjK2Pws8X8PDwwEAAAGF""]}"
"February 11, 2018",Recently Added,Revenge Body With Khloe Kardashian,2017,2,5,Binge Eating Bachelorette & Drill Sergeant,{}
"February 11, 2018",Recently Added,Crashing,2017,2,5,Too Good,"{""hbogo""=>[""GWi8EXQeaWhYhvQEAAAFy""]}"
"February 11, 2018",Recently Added,Robot Chicken,2005,9,8,We Don't See Much of That in 1940s America,{}
