Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"February 13, 2018",Recently Added,2018 Winter Olympics,2018,1,5,"Olympics 2018 Prime Time: Figure Skating, Alpine Skiing, Snowboarding",{}
"February 12, 2018",Recently Added,The Bachelor,2002,22,7,Episode 7,{}
"February 12, 2018",Recently Added,Celebrity Big Brother,2018,1,5,Episode 5,{}
"February 12, 2018",Recently Added,Cops,1989,30,27,The Running Man,{}
"February 12, 2018",Recently Added,DC's Legends of Tomorrow,2016,3,10,Daddy Darhkest,{}
"February 12, 2018",Recently Added,The Alienist,2018,1,4,These Bloody Thoughts,{}
"February 12, 2018",Recently Added,Street Outlaws,2013,11,11,Episode 11,{}
"February 12, 2018",Recently Added,Teen Mom OG,2015,5,12,Unconfuse Your Brain,{}
"February 12, 2018",Recently Added,Vanderpump Rules,2013,6,10,Screams and Queens,{}
"February 12, 2018",Recently Added,American Dad!,2005,14,1,Paranoid Frandroid,{}
"February 13, 2018",Recently Added,The Daily Show,1996,24,25,Ladies Night: News-making women,{}
