Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"November 6, 2017",Recently Added,Made in Chelsea,2012,14,5,Episode 5,{}
"November 6, 2017",Recently Added,The Real Housewives of Cheshire,2015,6,9,Count Your Blessings,{}
"November 6, 2017",Recently Added,Cops,1989,30,22,Scaredy Cat,{}
"November 6, 2017",Recently Added,Dancing with the Stars,2005,25,9,Episode 9,{}
"November 6, 2017",Recently Added,Kevin Can Wait,2016,2,7,The Kevin Crown Affair,{}
"November 6, 2017",Recently Added,Love & Hip Hop: New York,2011,8,2,Rubbed the Wrong Way,{}
"November 6, 2017",Recently Added,Lucifer,2016,3,6,Vegas With Some Radish,{}
"November 6, 2017",Recently Added,Supergirl,2015,3,5,Damage,{}
"November 6, 2017",Recently Added,The Voice,2011,13,13,"The Knockouts, Part 2",{}
"November 6, 2017",Recently Added,The Gifted,2017,1,6,got your siX,{}
"November 6, 2017",Recently Added,Long Island Medium,2011,10,1,Reading the Stars,{}
"November 6, 2017",Recently Added,The Real Housewives of Orange County,2006,12,18,The Real Vikings of Orange County,{}
"November 6, 2017",Recently Added,Ride with Norman Reedus,2016,2,2,Lowcountry with Dave Chappelle,{}
"November 6, 2017",Recently Added,Superior Donuts,2017,2,2,Is There a Problem Officer?,{}
"November 6, 2017",Recently Added,Travelers,2016,2,4,11:27,{}
"November 6, 2017",Recently Added,Valor,2017,1,5,Full Battle Rattle,{}
