Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 20, 2017",Adventure Time with Finn & Jake,2010,8,27,Whispers,{}
"July 20, 2017",Big Brother 19,2017,1,11,Episode 11,{}
"July 20, 2017",Boy Band,2017,1,5,Blast From the Past,{}
"July 20, 2017",Hollywood Game Night,2013,5,4,Game Night Is the New Black,{}
"July 20, 2017",Penn & Teller: Fool Us,2014,4,2,"Penn, Teller and a Mind Reading Chicken",{}
"July 13, 2017",Married At First Sight,2014,5,14,Intimacy Pt. 2,"{""itunes""=>[""1259321451""]}"
"July 13, 2017",Million Dollar Listing New York,2012,6,8,It Takes a (East) Village,"{""itunes""=>[""1259349389""], ""amazon""=>[""B073WWP186"", ""B073WX5V36""]}"
"July 13, 2017",Nashville,2012,5,18,The Night Before (Life Goes On),"{""amazon""=>[""B073X7MJP2"", ""B073X885QT""]}"
"July 13, 2017",Nick Cannon Presents: Wild 'N Out,2005,9,15,Lil Yachty,{}
"July 13, 2017",The Wall,2016,2,4,Jeff and Jamie,{}
"July 13, 2017",Impractical Jokers,2011,6,14,Paradise Lost,"{""itunes""=>[""1259405680""], ""amazon""=>[""B073X85PL6"", ""B073X9G3DP""]}"
"July 13, 2017",Queen of the South,2016,2,6,El Camino de la Muerte,"{""itunes""=>[""1257147451""], ""amazon""=>[""B073V8176Z"", ""B073V7J5MV""]}"
"July 13, 2017",Saving Hope,2012,5,15,Fix You,"{""itunes""=>[""1233287724""], ""amazon""=>[""B073ZM1XQ5"", ""B073ZLT2N7""]}"
"July 13, 2017",The Mist,2017,1,4,Pequod,"{""itunes""=>[""1258981661""], ""amazon""=>[""B073X6MVGL"", ""B073X679VP""]}"
"July 13, 2017",The Night Shift,2014,4,4,Control,"{""itunes""=>[""1259371284""], ""amazon""=>[""B073X7CGL7"", ""B073X66QJ4""]}"
"July 13, 2017",Zoo,2015,3,3,Ten Years Gone,"{""itunes""=>[""1259094826""], ""amazon""=>[""B073WWPD53"", ""B073WWJGFR""]}"
"July 19, 2017",Conan,2010,7,82,"Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramirez, Lucy Fry, Jared Padalecki, Jensen Ackles",{}
"July 19, 2017",The Daily Show,1996,23,101,Gov. Terry McAuliffe,{}
"July 19, 2017",The Late Show With Stephen Colbert,2015,3,115,"James McAvoy, Kenneth Branagh",{}
"July 19, 2017",The Tonight Show Starring Jimmy Fallon,2014,2017,109,"Harry Styles, Jenny Slate, the Who",{}
