Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"January 31, 2018",Recently Added,The Path,2016,3,5,Pageantry,"{""hulu""=>[""1207491"", ""1207491""]}"
"January 31, 2018",Recently Added,The Amazing Race,2001,30,5,The Claws Are Out,{}
"January 31, 2018",Recently Added,Black Ink Crew,2013,6,9,Seoul Searching,{}
"January 31, 2018",Recently Added,The Blacklist,2013,5,12,The Cook,{}
"January 31, 2018",Recently Added,Grown-ish,2018,1,6,Cashin' Out,{}
"January 31, 2018",Recently Added,The Librarians,2014,4,11,And the Trial of the One,{}
"January 31, 2018",Recently Added,Riverdale,2017,2,12,The Wicked and the Divine,{}
"January 31, 2018",Recently Added,Schitt's Creek,2015,4,2,Pregnancy Test,{}
"January 31, 2018",Recently Added,The X-Files,2016,2,5,Ghouli,{}
"January 31, 2018",Recently Added,Alone Together,2018,1,4,Pop Up,{}
"January 31, 2018",Recently Added,9-1-1,2018,1,5,Point of Origin,{}
"January 31, 2018",Recently Added,Dynasty,2017,1,12,Promises You Can't Keep,{}
"January 31, 2018",Recently Added,Law & Order: Special Victims Unit,1999,19,12,Info Wars,{}
"January 31, 2018",Recently Added,The Magicians,2016,3,4,Be the Penny,{}
"January 31, 2018",Recently Added,MythBusters,2003,15,11,Dynamite Deposit,{}
"January 31, 2018",Recently Added,The Real Housewives of New Jersey,2009,8,16,Reunion Secrets Revealed,{}
"January 31, 2018",Recently Added,SEAL Team,2017,1,13,Getaway Day,{}
"January 31, 2018",Recently Added,Storage Wars,2010,12,19,The Way of the YUUUP!,{}
"January 31, 2018",Recently Added,Total Divas,2013,7,12,Breaking the News,{}
"January 31, 2018",Recently Added,American Crime Story,2016,2,3,A Random Killing,{}
"January 31, 2018",Recently Added,Catfish: The TV Show,2012,7,5,Mary & Adam,{}
"January 31, 2018",Recently Added,Chicago PD,2014,5,13,Chasing Monsters,{}
"January 31, 2018",Recently Added,Criminal Minds,2005,13,14,Miasma,{}
"January 31, 2018",Recently Added,Happy!,2017,1,8,I Am the Future,{}
"January 31, 2018",Recently Added,If Loving You is Wrong,2014,4,13,Hanging in the Balance,{}
"January 31, 2018",Recently Added,Knightfall,2017,1,9,Fiat!,{}
"January 31, 2018",Recently Added,Match Game,2016,3,5,Episode 5,{}
"January 31, 2018",Recently Added,Waco,2018,1,2,The Strangers Across The Street,{}
"January 31, 2018",Recently Added,Full Frontal with Samantha Bee,2016,2,33,Episode 33,{}
"February 1, 2018",Recently Added,Conan,2010,8,12,"Dr. Phil McGraw, the Soul Flyers, Albert Hammond Jr.",{}
"February 1, 2018",Recently Added,The Daily Show,1996,24,19,Rose McGowan,{}
"February 1, 2018",Recently Added,The Opposition With Jordan Klepper,2017,1,59,Talib Kweli,{}
"February 1, 2018",Recently Added,The Late Show With Stephen Colbert,2015,4,23,"Michael Shannon, Meghan McCain, John Mellencamp",{}
"February 1, 2018",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2018,19,"Sam Smith, Cecily Strong, Dan White",{}
