Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"February 7, 2018",Recently Added,The Path,2016,3,6,Messiah,{}
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,Queer Eye,2018,1,8,Hose Before Bros,"{""netflixusa""=>[""80160139""]}"
"February 7, 2018",Recently Added,The Blacklist,2013,5,13,The Invisible Hand,{}
"February 7, 2018",Recently Added,Grown-ish,2018,1,7,Unbreak My Heart,{}
"February 7, 2018",Recently Added,The Librarians,2014,4,12,And the Echoes of Memory,{}
"February 7, 2018",Recently Added,Riverdale,2017,2,13,The Tell-Tale Heart,{}
"February 7, 2018",Recently Added,Schitt's Creek,2015,4,3,Asbestos Fest,{}
"February 7, 2018",Recently Added,The X-Files,2016,2,6,Kitten,{}
"February 7, 2018",Recently Added,Alone Together,2018,1,5,Dean Girls,{}
"February 7, 2018",Recently Added,9-1-1,2018,1,6,Heartbreaker,{}
"February 7, 2018",Recently Added,The Amazing Race,2001,30,6,All's Fair in Love and War,{}
"February 7, 2018",Recently Added,Dynasty,2017,1,13,Nothing but Trouble,{}
"February 7, 2018",Recently Added,Law & Order: Special Victims Unit,1999,19,13,The Undiscovered Country,{}
"February 7, 2018",Recently Added,The Magicians,2016,3,5,A Life in the Day,{}
"February 7, 2018",Recently Added,MythBusters,2003,15,12,Backseat Getaway Driver,{}
"February 7, 2018",Recently Added,Storage Wars,2010,12,20,Goat Tell It on the Mountain,{}
"February 7, 2018",Recently Added,American Crime Story,2016,2,4,House by the Lake,{}
"February 7, 2018",Recently Added,Catfish: The TV Show,2012,7,6,Zak & Garrett,{}
"February 7, 2018",Recently Added,Chicago PD,2014,5,14,Anthem,{}
"February 7, 2018",Recently Added,If Loving You is Wrong,2014,4,14,The Battleground State,{}
"February 7, 2018",Recently Added,Knightfall,2017,1,10,Do You See The Blue?,{}
"February 7, 2018",Recently Added,Match Game,2016,3,6,Episode 6,{}
"February 7, 2018",Recently Added,Waco,2018,1,3,Operation Showtime,{}
"February 7, 2018",Recently Added,Full Frontal with Samantha Bee,2016,3,1,Episode 1,{}
"February 8, 2018",Recently Added,Conan,2010,8,16,"Jamie Dornan, Jenna Fischer, Jena Friedman",{}
"February 8, 2018",Recently Added,The Daily Show,1996,24,23,Steve Aoki,{}
"February 8, 2018",Recently Added,The Opposition With Jordan Klepper,2017,1,63,Tarana Burke,{}
"February 8, 2018",Recently Added,The Late Show With Stephen Colbert,2015,4,28,"Joel McHale, Yara Shahidi, Joywave",{}
"February 8, 2018",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2018,22,"Andrew Garfield, Rachel Brosnahan, Alice Merton",{}
