Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,Future Man,2017,1,13,A Date with Destiny,"{""hulu""=>[""1171401""]}"
"November 14, 2017",Recently Added,The Mindy Project,2012,6,10,It Had to Be You,"{""hulu""=>[""1172277"", ""1172277""]}"
"November 14, 2017",Recently Added,The Flash,2014,4,6,When Harry Met Harry...,{}
"November 14, 2017",Recently Added,Lethal Weapon,2016,2,6,Gold Rush,"{""hulu""=>[""1173468""]}"
"November 14, 2017",Recently Added,The Middle,2009,9,7,Thanksgiving IX,"{""hulu""=>[""1173037""]}"
"November 14, 2017",Recently Added,NCIS,2003,15,8,Voices,{}
"November 14, 2017",Recently Added,The Voice,2011,13,16,"The Playoffs, Night 2",{}
"November 14, 2017",Recently Added,Fresh Off The Boat,2015,4,7,The Day After Thanksgiving,"{""hulu""=>[""1173036""]}"
"November 14, 2017",Recently Added,Below Deck,2013,5,11,Only Doing It for the Money,{}
"November 14, 2017",Recently Added,Black-ish,2014,4,7,Please Don't Feed the Animals,"{""hulu""=>[""1173015""]}"
"November 14, 2017",Recently Added,Bull,2016,2,8,"The Devil, the Detail",{}
"November 14, 2017",Recently Added,DC's Legends of Tomorrow,2016,3,6,Helen Hunt,{}
"November 14, 2017",Recently Added,If Loving You is Wrong,2014,4,8,Dark Intentions,{}
"November 14, 2017",Recently Added,The Little Couple,2009,11,9,"Dear Santa, I Love You",{}
"November 14, 2017",Recently Added,Major Crimes,2012,6,3,Sanctuary City: Part 3,{}
"November 14, 2017",Recently Added,The Mick,2017,2,6,The Matriarch,"{""hulu""=>[""1173144""]}"
"November 14, 2017",Recently Added,This Is Us,2016,2,8,Number One,"{""hulu""=>[""1173300""]}"
"November 14, 2017",Recently Added,Brooklyn Nine-Nine,2013,5,6,The Venue,"{""hulu""=>[""1172419""]}"
"November 14, 2017",Recently Added,The Mayor,2017,1,7,Here Comes the Governor,"{""hulu""=>[""1172998""]}"
"November 14, 2017",Recently Added,American Horror Story,2011,7,11,Great Again,{}
"November 14, 2017",Recently Added,Damnation,2017,1,2,Which Side Are You On,{}
"November 14, 2017",Recently Added,Kevin (Probably) Saves the World,2017,1,7,Dave,"{""hulu""=>[""1173011""]}"
"November 14, 2017",Recently Added,Law & Order True Crime: The Menendez Murders,2017,1,8,Episode 8,{}
"November 14, 2017",Recently Added,Leah Remini: Scientology and the Aftermath,2016,2,13,The Life & Lies of L. Ron Hubbard,{}
"November 14, 2017",Recently Added,NCIS: New Orleans,2014,4,8,Sins of the Father,{}
"November 14, 2017",Recently Added,Teachers,2016,2,12,Passive Eggressive,{}
"November 14, 2017",Recently Added,Tosh.0,2009,9,29,Episode 29,{}
"November 14, 2017",Recently Added,The Daily Show,1996,23,159,2 Chainz,{}
"November 14, 2017",Recently Added,The Opposition With Jordan Klepper,2017,1,26,Jeff Ross,{}
"November 14, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,177,"Tyler Perry, Anthony Atamanuik, John Avlon",{}
"November 14, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,172,"Michael Strahan, Jenna & Barbara Bush, Tove Lo",{}
