Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"October 29, 2017",Recently Added,The X Factor,2004,14,18,The X Factor Live,{}
"October 29, 2017",Recently Added,The Only Way is Essex,2010,21,15,Episode 15,{}
"October 29, 2017",Recently Added,One Piece,1999,8,811,I'll Wait Here! Luffy vs. the Enraged Army!,{}
"October 29, 2017",Recently Added,Outlander,2014,3,7,Creme De Menthe,{}
"October 29, 2017",Recently Added,Shahs of Sunset,2012,6,15,Reunion Part 2,{}
"October 29, 2017",Recently Added,Wisdom of the Crowd,2017,1,5,Clear History,{}
