Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 14, 2017",Recently Added,Penn & Teller: Fool Us,2014,4,9,Penn & Teller Are Full of Hot Air,{}
"September 14, 2017",Recently Added,Project Runway,2004,16,5,Descending Into Good and Evil,{}
"September 14, 2017",Recently Added,Big Brother 19,2017,1,37,Episode 37,{}
"September 14, 2017",Recently Added,Flipping Out,2007,10,5,Baby Brain,{}
"September 14, 2017",Recently Added,Nick Cannon Presents: Wild 'N Out,2005,9,23,Lil Rel; Mia Kang; Ayo & Teo,{}
"September 14, 2017",Recently Added,Whose Line Is It Anyway?,1998,13,13,Danielle Panabaker,{}
"September 14, 2017",Recently Added,Better Things,2016,2,1,September,{}
"September 14, 2017",Recently Added,Girlfriends' Guide to Divorce,2014,4,5,Rule No. 930: Plan for New Plans,{}
"September 14, 2017",Recently Added,Ice Road Truckers,2007,11,4,Meltdown Blues,{}
"September 14, 2017",Recently Added,Impractical Jokers,2011,6,22,The Walking Dread,{}
"September 14, 2017",Recently Added,Naked and Afraid,2013,8,7,Battle of the Fans,{}
"September 14, 2017",Recently Added,The Guest Book,2017,1,8,Story Eight,"{""amazon""=>[""B075FQ8MJQ"", ""B075FVV7PC""]}"
"September 14, 2017",Recently Added,Zoo,2015,3,12,West Side Story,{}
"September 14, 2017",Recently Added,Conan,2010,7,101,"Katy Tur, Taylor Tomlinson",{}
"September 14, 2017",Recently Added,The Daily Show,1996,23,129,Jill Soloway,{}
"September 14, 2017",Recently Added,The Only Way is Essex,2010,21,2,Episode 2,{}
"September 14, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,139,"Jake Gyllenhaal, Dr. Jane Goodall, Yo Gotti featuring Nicki Minaj",{}
