Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 19, 2017",Recently Added,Difficult People,2015,3,9,Sweet Tea,"{""hulu""=>[""1137484""]}"
"September 19, 2017",Recently Added,The Mindy Project,2012,6,2,A Romantical Decouplement,"{""hulu""=>[""1141395""]}"
"September 19, 2017",Recently Added,The Great British Bake Off,2010,8,4,Episode 4,{}
"September 19, 2017",Recently Added,Geordie Shore,2011,15,4,Episode 4,{}
"September 19, 2017",Recently Added,America's Got Talent,2006,12,23,Live Finale,{}
"September 12, 2017",Recently Added,Below Deck,2013,5,2,It Ain't Easy Being Green,"{""amazon""=>[""B075KFHNRR"", ""B075KL3C2J""]}"
"September 19, 2017",Recently Added,Dance Moms,2011,9,8,Ashlee's Big Decision Part 2,{}
"May 30, 2017",Recently Added,If Loving You is Wrong,2014,3,22,Sound The Alarm,{}
"March 8, 2016",Recently Added,The Little Couple,2009,10,10,A Little 4-1-1,"{""amazon""=>[""B01CPUO9D6"", ""B01CPUO5VM""]}"
"August 29, 2017",Recently Added,Adam Ruins Everything,2015,2,8,Emily Ruins Adam,"{""amazon""=>[""B0756Q44Q3"", ""B0756QW5WX""]}"
"September 12, 2017",Recently Added,American Horror Story,2011,7,2,Don't Be Afraid of the Dark,"{""amazon""=>[""B075JP62WD"", ""B075JP8JG2""]}"
"September 12, 2017",Recently Added,Being Mary Jane,2013,4,19,Feeling Seen,"{""amazon""=>[""B075JR5BGJ"", ""B075JS1MMZ""]}"
"September 12, 2017",Recently Added,Chopped,2009,35,9,Waffles for the Win,"{""amazon""=>[""B075JRLJ1B"", ""B075JS3CDP""]}"
"September 12, 2017",Recently Added,Chrisley Knows Best,2014,5,9,Moms Just Wanna Have Fun,"{""amazon""=>[""B075KK4SL5"", ""B075KN6FF6""]}"
"September 12, 2017",Recently Added,Ink Master,2012,9,15,Casting the First Stone,"{""amazon""=>[""B075KJQ4CW"", ""B075KJYCR9""]}"
"September 12, 2017",Recently Added,Leah Remini: Scientology and the Aftermath,2016,2,5,The Rise of David Miscavige,"{""amazon""=>[""B075L2YJHJ"", ""B075L8MP1X""]}"
"September 12, 2017",Recently Added,Somewhere Between,2017,1,9,Ghost,"{""hulu""=>[""1139504""]}"
"September 12, 2017",Recently Added,The Challenge XXX: Dirty 30,2017,30,9,Dirty 30: Rampage,{}
"August 15, 2017",Recently Added,Tosh.0,2009,9,20,Tosh.Oh That's What They're Up to Now Pt. 5,"{""amazon""=>[""B074V22CQ1"", ""B074V329D9""]}"
"September 18, 2017",Recently Added,Conan,2010,7,102,"Paula Patton, Shane Torres",{}
"September 18, 2017",Recently Added,The Daily Show,1996,23,130,Gucci Mane,{}
"September 18, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,141,Second Anniversary Special,{}
"September 18, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,141,"Demi Lovato, John Cleese",{}
