Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 6, 2017",Boy Band,2017,1,3,Sweet Sixteen,{}
"July 6, 2017",Hollywood Game Night,2013,5,3,Super Duper Store Night,{}
"July 5, 2017",Big Brother 19,2017,1,4,Episode 4,{}
"January 20, 2017",Degrassi: Next Class,2017,3,10,#ImSleep,"{""netflixusa""=>[""80113826""]}"
"June 29, 2017",Married At First Sight,2014,5,12,One Month Anniversary,"{""itunes""=>[""1253393759""], ""amazon""=>[""B073G2FFC5"", ""B073FYB4BJ""]}"
"June 29, 2017",Million Dollar Listing New York,2012,6,6,"Ice, Ice, Ryan","{""itunes""=>[""1253879686""], ""amazon""=>[""B073GY1XH6"", ""B073GY1YFG""]}"
"June 29, 2017",Nashville,2012,5,16,Not Ready to Make Nice,"{""hulu""=>[""1106069""], ""amazon""=>[""B073HNKZ85"", ""B073HMMD2G""]}"
"June 29, 2017",The Wall,2016,2,2,Lenny and Sharon,"{""hulu""=>[""1107049""]}"
"June 29, 2017",Queen of the South,2016,2,4,El Beso De Judas,"{""itunes""=>[""1250638751""], ""amazon""=>[""B073G1RR3Q"", ""B073FZWVZH""]}"
"June 29, 2017",Saving Hope,2012,5,13,Problem Child,"{""amazon""=>[""B073PHNP73"", ""B073PJ7K5Z""]}"
"June 29, 2017",The Mist,2017,1,2,Withdrawal,"{""itunes""=>[""1253731552""], ""amazon""=>[""B073GJ6NPT"", ""B073GHS2PR""]}"
"June 29, 2017",The Night Shift,2014,4,2,Off the Rails,"{""itunes""=>[""1254103928""], ""amazon""=>[""B073HSYJ6P"", ""B073HRTVNJ""]}"
"July 5, 2017",The Ultimate Fighter,2005,25,12,The Winner's Circle,{}
"June 29, 2017",Zoo,2015,3,1,No Place Like Home,"{""itunes""=>[""1253737183""], ""amazon""=>[""B073J4HP31"", ""B073HY7926""]}"
