Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 13, 2017",America's Got Talent,2006,12,7,Best of Auditions,{}
"July 13, 2017",Boy Band,2017,1,4,Live Live Live!,{}
"July 13, 2017",Penn & Teller: Fool Us,2014,4,1,Penn & Teller Teach You a Trick,{}
"July 12, 2017",Big Brother 19,2017,1,7,Episode 7,"{""itunes""=>[""1258649778""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 6, 2017",Married At First Sight,2014,5,13,Support,"{""itunes""=>[""1254556635""], ""amazon""=>[""B073PHV165"", ""B073PJPP24""]}"
"July 6, 2017",Million Dollar Listing New York,2012,6,7,Co-List or No-List,"{""itunes""=>[""1256349219""], ""amazon""=>[""B073RB8PL5"", ""B073RC42PP""]}"
"July 6, 2017",Nashville,2012,5,17,Ghost in This House,"{""hulu""=>[""1109059""], ""amazon""=>[""B073RS1FCP"", ""B073RSMBRD""]}"
"July 6, 2017",Nick Cannon Presents: Wild 'N Out,2005,9,14,Dave East; Nev Schulman,{}
"July 6, 2017",The Wall,2016,2,3,Delvar and Bonnie,{}
"May 11, 2017",Impractical Jokers,2011,6,13,Universal Appeal,"{""itunes""=>[""1235864341""], ""amazon""=>[""B071LB15JS"", ""B07285X6C5""]}"
"July 6, 2017",Queen of the South,2016,2,5,El Nacimiento de Bolivia,"{""itunes""=>[""1253549514""], ""amazon""=>[""B073PHDYGL"", ""B073PHN3GY""]}"
"July 6, 2017",Saving Hope,2012,5,14,We Need to Talk About Charlie Harris,"{""itunes""=>[""1233287064""], ""amazon""=>[""B073V58M28"", ""B073V5KKNV""]}"
"July 6, 2017",The Mist,2017,1,3,Show and Tell,"{""itunes""=>[""1256263840""], ""amazon""=>[""B073RHH8PW"", ""B073RGQY4K""]}"
"July 6, 2017",The Night Shift,2014,4,3,Do No Harm,"{""itunes""=>[""1256625037""], ""amazon""=>[""B073RSTPYY"", ""B073RSTSYC""]}"
"July 6, 2017",Zoo,2015,3,2,Diaspora,"{""itunes""=>[""1256238720""], ""amazon""=>[""B073RRJVSV"", ""B073RRLRKT""]}"
"July 12, 2017",Conan,2010,7,80,"Marisa Tomei, Gabrielle Union, Jackie Kashian",{}
"July 12, 2017",The Daily Show,1996,23,97,James Davis,{}
"July 12, 2017",The Late Show With Stephen Colbert,2015,3,110,"John Oliver, Mike Birbiglia, Michael Showalter",{}
