Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"October 12, 2017",Recently Added,Gotham,2014,4,4,The Demon's Head,{}
"October 12, 2017",Recently Added,Grey's Anatomy,2005,14,4,Ain't That a Kick in the Head,"{""hulu""=>[""1156629""]}"
"October 12, 2017",Recently Added,Supernatural,2005,13,1,Lost and Found,{}
"October 12, 2017",Recently Added,Superstore,2015,3,3,Part-Time Hires,"{""hulu""=>[""1156631""]}"
"October 12, 2017",Recently Added,The Good Place,2016,2,5,Existential Crisis,"{""hulu""=>[""1156612""]}"
"October 12, 2017",Recently Added,Arrow,2012,6,1,Fallout,{}
"October 12, 2017",Recently Added,Flipping Out,2007,10,9,"The Good, the Bad, the Goodbye",{}
"October 12, 2017",Recently Added,The Orville,2017,1,6,Krill,"{""hulu""=>[""1156993""]}"
"October 12, 2017",Recently Added,Project Runway,2004,16,9,A Little Avant Garde,{}
"October 12, 2017",Recently Added,Scandal,2012,7,2,Pressing the Flesh,"{""hulu""=>[""1156610""]}"
