Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 23, 2017",Poldark,2015,3,7,Episode 7,{}
"July 23, 2017",One Piece,1999,8,798,An Enemy With 800 Million Bounty – Luffy vs. Thousand Arms Cracker,{}
"July 23, 2017",Big Brother 19,2017,1,13,Episode 13,{}
"July 23, 2017",Celebrity Family Feud,2015,3,6,Funny Gals vs. Funny Guys and Louie Anderson vs Christina Milian,{}
"July 23, 2017",Shahs of Sunset,2012,6,2,A Long Trip for a Short Apology,{}
"July 16, 2017",American Grit,2016,2,6,Selfish vs. Selfless,"{""itunes""=>[""1258494516""], ""amazon""=>[""B073X563H9"", ""B073X4ZQZQ""]}"
"July 16, 2017",Botched,2014,4,5,Twin Terrors,"{""itunes""=>[""1260274808""], ""amazon""=>[""B073Z8MW25"", ""B073Z89LNN""]}"
"July 16, 2017",Claws,2017,1,6,Self-Portrait,"{""itunes""=>[""1260363733""], ""amazon""=>[""B073Z7VY9H"", ""B073Z7NQ18""]}"
"July 16, 2017",Food Network Star,2005,13,8,Beat Bobby Flay,"{""amazon""=>[""B073Z8433N"", ""B073Z86BZV""]}"
"July 16, 2017",Game of Thrones,2011,7,1,Dragonstone,"{""hbogo""=>[""GWSL97g2lpwjDwgEAAAAl""]}"
"July 16, 2017",Grantchester,2017,3,5,Episode 5,"{""itunes""=>[""1248022526""]}"
"July 16, 2017",Power,2014,4,4,We're in This Together,{}
"July 16, 2017",Twin Peaks,2017,1,10,Part 10,{}
