Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 10, 2017",Recently Added,Big Brother 19,2017,1,35,Episode 35,{}
"",Recently Added,Endeavour,2017,4,4,Harvest,{}
"September 10, 2017",Recently Added,Shahs of Sunset,2012,6,8,The Art of Deflection,{}
"September 10, 2017",Recently Added,Teen Wolf,2011,6,17,Werewolves of London,{}
"September 10, 2017",Recently Added,Top Gear America,2017,1,7,The Best,{}
"September 10, 2017",Recently Added,Chesapeake Shores,2016,2,6,Grand Openings,{}
"September 10, 2017",Recently Added,Fear the Walking Dead,2015,3,10,Diviner,{}
"September 10, 2017",Recently Added,Life of Kylie,2017,1,7,Peru Pt. 1,{}
"September 10, 2017",Recently Added,Outlander,2014,3,1,The Battle Joined,{}
"September 10, 2017",Recently Added,Ray Donovan,2013,5,5,Shabbos Goy,{}
"September 10, 2017",Recently Added,The Great Food Truck Race,2010,8,4,Hot Chicken in the City,{}
"September 10, 2017",Recently Added,The Last Ship,2014,4,5,Allegiance,{}
"",Recently Added,Top of the Lake,2017,2,2,The Loved One,{}
"September 10, 2017",Recently Added,Ballers,2015,3,8,Alley-Oops,"{""hbogo""=>[""GWW50PASabMI""]}"
"September 10, 2017",Recently Added,Bar Rescue,2011,5,31,There Will Be Family Blood,{}
"September 10, 2017",Recently Added,Fear the Walking Dead,2015,3,10,Diviner,{}
"September 10, 2017",Recently Added,Get Shorty,2017,1,6,Epinephrine,{}
"September 10, 2017",Recently Added,Survivor's Remorse,2014,4,4,Feel Free to Comment,{}
"September 10, 2017",Recently Added,The Strain,2014,4,9,The Traitor,{}
"",Recently Added,Top of the Lake,2017,2,2,The Loved One,{}
"September 10, 2017",Recently Added,Episodes,2011,5,3,Episode 3,{}
"September 10, 2017",Recently Added,Insecure,2016,2,8,Hella Perspective,"{""hbogo""=>[""GWW50BgeGXzmuogEAAABH""]}"
"September 10, 2017",Recently Added,Bar Rescue,2011,5,31,There Will Be Family Blood,{}
"September 10, 2017",Recently Added,Talking Dead,2011,6,23,Episode 23,{}
"September 10, 2017",Recently Added,Last Week Tonight with John Oliver,2014,4,23,Episode 23,{}
"September 10, 2017",Recently Added,Rick and Morty,2013,3,7,The Ricklantis Mixup,{}
