Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"December 16, 2017",Recently Added,Ten Days in the Valley,2017,1,6,Day 6: Down Day,"{""hulu""=>[""1192328""]}"
"December 16, 2017",Recently Added,The Graham Norton Show,,22,10,"Jessica Chastain / Dawn French / Rebel Wilson, / Dwayne Johnson / Kevin Hart / Jack Black",{}
"December 16, 2017",Recently Added,Ten Days in the Valley,2017,1,6,Day 6: Down Day,"{""hulu""=>[""1192328""]}"
"December 16, 2017",Recently Added,Saturday Night Live,1975,43,9,Kevin Hart; Foo Fighters,{}
