Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"October 28, 2017",Recently Added,My Little Pony: Friendship is Magic,2010,7,26,"Shadow Play, Part II",{}
"October 28, 2017",Recently Added,My Little Pony: Friendship is Magic,2010,7,26,"Shadow Play, Part II",{}
"October 29, 2017",Recently Added,The X Factor,2004,14,18,The X Factor Live,{}
"October 28, 2017",Recently Added,Cold Justice,2013,4,10,Covet,{}
"October 28, 2017",Recently Added,Ghost Adventures,2008,15,6,Museum of Madness,{}
"October 28, 2017",Recently Added,The X Factor,2004,14,17,The X Factor Live,{}
"October 28, 2017",Recently Added,The Graham Norton Show,,22,4,"Hillary Clinton, Jeff Goldblum, Gerard Butler, Jack Whitehall.",{}
