Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 26, 2017",Recently Added,Difficult People,2015,3,10,The Silkwood,"{""hulu""=>[""1137485""]}"
"September 26, 2017",Recently Added,The Mindy Project,2012,6,3,May Divorce Be With You,"{""hulu""=>[""1145320""]}"
"September 26, 2017",Recently Added,Geordie Shore,2011,15,5,Episode 5,{}
"September 26, 2017",Recently Added,Celebrity Family Feud,2015,3,10,Dancing With the Stars vs. Shark Tank and Cynthia Bailey vs. Kandi Burruss-Tucker,{}
"September 26, 2017",Recently Added,Lethal Weapon,2016,2,1,El Gringo Loco,{}
"September 26, 2017",Recently Added,NCIS,2003,15,1,House Divided,{}
"September 26, 2017",Recently Added,The Voice,2011,13,2,The Blind Auditions Premiere - Part 2,{}
"September 26, 2017",Recently Added,The Great British Bake Off,2010,8,5,Pudding Week,{}
"September 26, 2017",Recently Added,Below Deck,2013,5,4,Kate Goes to Church,{}
"September 26, 2017",Recently Added,Brooklyn Nine-Nine,2013,5,1,The Big House Pt.1,{}
"September 26, 2017",Recently Added,Bull,2016,2,1,School for Scandal,{}
"September 26, 2017",Recently Added,Dancing with the Stars,2005,25,3,Episode 3,{}
"September 26, 2017",Recently Added,If Loving You is Wrong,2014,4,2,Justice,{}
"September 26, 2017",Recently Added,The Little Couple,2009,11,2,Hold on Everybody,{}
"September 26, 2017",Recently Added,The Mick,2017,2,1,The Hotel,{}
"September 26, 2017",Recently Added,This Is Us,2016,2,1,A Father's Advice,{}
"September 26, 2017",Recently Added,Adam Ruins Everything,2015,2,10,Adam Ruins the Suburbs,{}
"September 26, 2017",Recently Added,American Horror Story,2011,7,4,11/9,{}
"September 26, 2017",Recently Added,Chopped,2009,35,11,The Beets Go On,{}
"September 26, 2017",Recently Added,Chrisley Knows Best,2014,5,11,Prank Master,{}
"September 26, 2017",Recently Added,Ink Master,2012,9,17,Shop Wars Finale,{}
"September 26, 2017",Recently Added,NCIS: New Orleans,2014,4,1,Rogue Nation,{}
"September 26, 2017",Recently Added,The Challenge XXX: Dirty 30,2017,30,11,Dirty 30: The Heart Is a Lonely Hunter,{}
"September 26, 2017",Recently Added,Tosh.0,2009,9,22,Episode 22,{}
"September 26, 2017",Recently Added,Conan,2010,7,107,"Ellen Page, Impractical Jokers",{}
"September 26, 2017",Recently Added,The Daily Show,1996,23,135,Kathryn Miles,{}
"September 26, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,147,"Sofia Vergara, David Boreanaz, Ken Burns",{}
"September 26, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,147,"Kate Winslet, Milo Ventimiglia, G-Eazy featuring Cardi B",{}
