Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 27, 2017",Top of the Lake,2013,2,6,Episode 6,{}
"July 27, 2017",Top of the Lake,2013,2,6,Episode 6,{}
"July 27, 2017",Top of the Lake,2013,2,6,Episode 6,{}
"July 27, 2017",Top of the Lake,2013,2,6,Episode 6,{}
"July 27, 2017",Top of the Lake,2013,2,6,Episode 6,{}
"July 27, 2017",Top of the Lake,2013,2,6,Episode 6,{}
"July 27, 2017",Big Brother 19,2017,1,15,Episode 15,{}
"July 27, 2017",Boy Band,2017,1,6,Soundtrack Hits,{}
"July 27, 2017",Hollywood Game Night,2013,5,5,The More You NeYo,{}
"July 27, 2017",Penn & Teller: Fool Us,2014,4,3,Teller Flips a Bird,{}
"July 20, 2017",Married At First Sight,2014,5,15,Second Honeymoons,"{""amazon""=>[""B0744N1QTX"", ""B0744N26JN""]}"
"July 20, 2017",Million Dollar Listing New York,2012,6,9,You Can Call Me Al...berto,"{""amazon""=>[""B0743LKVWH"", ""B0743LR4GM""]}"
"July 20, 2017",Nashville,2012,5,19,You Can't Lose Me,"{""amazon""=>[""B0743NHTM7"", ""B0743PMS14""]}"
"July 20, 2017",Nick Cannon Presents: Wild 'N Out,2005,9,16,Blac Chyna; It's a Movie,{}
"July 20, 2017",The Wall,2016,2,5,Chris and Paris,{}
"July 20, 2017",Impractical Jokers,2011,6,15,Mime and Punishment,"{""amazon""=>[""B0743CT157"", ""B0743CG9WL""]}"
"July 20, 2017",Queen of the South,2016,2,7,El Precio de la Fe,"{""amazon""=>[""B073ZMVY2W"", ""B073ZN4YGC""]}"
"July 20, 2017",Saving Hope,2012,5,16,La famiglia,"{""itunes""=>[""1233288020""], ""amazon""=>[""B0746TJX48"", ""B0746TX53X""]}"
"July 20, 2017",The Mist,2017,1,5,The Waiting Room,"{""amazon""=>[""B0742PG9VB"", ""B0742P5R62""]}"
"July 20, 2017",The Night Shift,2014,4,5,Turbulence,"{""amazon""=>[""B0743M6C4M"", ""B0743MGQYV""]}"
"July 20, 2017",Zoo,2015,3,4,Welcome to the Terra Dome,"{""amazon""=>[""B0743DHWKV"", ""B07438T5VZ""]}"
"July 26, 2017",The Daily Show,1996,23,105,Charlize Theron,{}
"July 26, 2017",The Late Show With Stephen Colbert,2015,3,120,"Michael Moore, Sutton Foster, 6LACK",{}
"July 26, 2017",The Tonight Show Starring Jimmy Fallon,2014,2017,114,"John Boyega, Rhett & Link, Kygo & Ellie Goulding",{}
Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
