Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 23, 2017",Big Brother 19,2017,1,13,Episode 13,{}
"July 26, 2017",MasterChef,2010,8,8,Whole-y Cow!,{}
"July 5, 2017",American Pickers,2010,17,19,Ain't That Americana,{}
"July 19, 2017",Kingdom,2014,3,8,Old Pueblo,{}
"July 19, 2017",Salvation,2017,1,2,Another Trip Around the Sun,"{""amazon""=>[""primesignup"", ""primesignup"", ""primesignup"", ""primesignup""]}"
"July 19, 2017",Suits,2011,7,2,The Statue,"{""itunes""=>[""1261487405""], ""amazon""=>[""B0742JQGCD"", ""B0742KN91Z""]}"
"July 19, 2017",The Carmichael Show,2015,3,9,Evelyn and Vernon,"{""itunes""=>[""1259613500""], ""amazon""=>[""B073ZN245H"", ""B073ZLTHCY""]}"
"July 19, 2017",The F Word,2017,1,7,Episode Seven,"{""itunes""=>[""1259299719""]}"
"July 19, 2017",The Real Housewives of New York City,2008,9,16,Three Tequila ... Floor!,"{""itunes""=>[""1261261012""]}"
"July 19, 2017",Blood Drive,2017,1,6,Booby Traps,"{""itunes""=>[""1261637503""], ""amazon""=>[""B073ZMH7KP"", ""B073ZMMP1G""]}"
"July 19, 2017",Broadchurch,2017,3,4,Episode 4,"{""itunes""=>[""1209493840""]}"
"July 19, 2017",Catfish: The TV Show,2012,6,19,Robert & Ashleigh,"{""amazon""=>[""B0741GJP4Q"", ""B0741H7F2Y""]}"
"July 19, 2017",Cleverman,2016,2,4,Muya,"{""itunes""=>[""1260065816""], ""amazon""=>[""B073ZMV95Z"", ""B073ZMYT4T""]}"
"July 19, 2017",Odd Mom Out,2015,3,2,Candle in the Windbag,"{""itunes""=>[""1261455597""], ""amazon""=>[""B0742J2R3N"", ""B0742JL9TT""]}"
"July 19, 2017",Queen Sugar,2016,2,6,Line of Our Elders,"{""itunes""=>[""1261393735""], ""amazon""=>[""B0742L7N7Q"", ""B0742KXK3M""]}"
"July 19, 2017",Snowfall,2017,1,3,Slow Hand,"{""itunes""=>[""1260289637""], ""amazon""=>[""B0741P439F"", ""B0741LDZSQ""]}"
"July 19, 2017",Younger,2015,4,4,In The Pink,"{""amazon""=>[""B0741RJD36"", ""B0741MZ8VF""]}"
"July 25, 2017",The Daily Show,1996,23,104,Dr. Rola Hallam,"{""itunes""=>[""1263742395""]}"
"July 25, 2017",The Late Show With Stephen Colbert,2015,3,119,"Charlie Rose, Jessica Williams, Max Brooks",{}
"July 25, 2017",The Tonight Show Starring Jimmy Fallon,2014,2017,113,"Jessica Biel, Matt Bomer, Kelsea Ballerini, Keith Sweat",{}
Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
