Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"December 10, 2017",Recently Added,Comic Book Men,2012,7,6,In a Galaxy Very Nearby,{}
"December 10, 2017",Recently Added,Bob's Burgers,2011,8,7,Bleakening Part 2,{}
"December 10, 2017",Recently Added,One Piece,1999,8,817,Moist Cigarette! The Night Before Sanji's Wedding!,{}
"December 10, 2017",Recently Added,Bob's Burgers,2011,8,7,Bleakening Part 2,{}
"December 10, 2017",Recently Added,No Activity,2017,1,5,Golden Age of Tunnels,{}
"December 10, 2017",Recently Added,Outlander,2017,3,13,Eye of the Storm,{}
"December 10, 2017",Recently Added,The Real Housewives of Atlanta,2008,10,6,All Aboard the Shady Express,{}
"December 10, 2017",Recently Added,Revenge Body With Khloe Kardashian,2017,2,1,Episode 1,{}
"December 10, 2017",Recently Added,The Simpsons,1989,29,9,Gone Boy,"{""hulu""=>[""1189196""]}"
"December 10, 2017",Recently Added,Wisdom of the Crowd,2017,1,10,Live Stream,{}
"December 10, 2017",Recently Added,Family Guy,1999,16,9,Don't Be a Dickens at Christmas,"{""hulu""=>[""1188595""]}"
"December 10, 2017",Recently Added,The Girlfriend Experience,2016,2,12,Citizens First,{}
"December 10, 2017",Recently Added,Keeping Up with the Kardashians,2007,14,11,Baby One More Time,{}
"December 10, 2017",Recently Added,NCIS: Los Angeles,2009,9,10,Forasteira,{}
"December 10, 2017",Recently Added,Shameless,2011,8,6,Icarus Fell and Rusty Ate Him,{}
"December 10, 2017",Recently Added,The Walking Dead,2010,8,8,How It's Gotta Be,{}
"December 10, 2017",Recently Added,The Girlfriend Experience,2016,2,12,Citizens First,{}
"December 10, 2017",Recently Added,Good Behavior,2016,2,9,And I Am a Violent Criminal,{}
"December 10, 2017",Recently Added,Madam Secretary,2014,4,9,Minefield,{}
"December 10, 2017",Recently Added,Search Party,2016,2,8,Hysteria,{}
"December 10, 2017",Recently Added,SMILF,2017,1,6,Chocolate Pudding & a Cooler of Gatorade,"{""showtimeanytime""=>[""3452838""]}"
"December 10, 2017",Recently Added,Talking Dead,2011,7,8,Episode 8,{}
"December 10, 2017",Recently Added,Search Party,2016,2,8,Hysteria,{}
"December 10, 2017",Recently Added,White Famous,2017,1,10,Zero F... Given,"{""showtimeanytime""=>[""3446678""]}"
"December 10, 2017",Recently Added,Robot Chicken,2005,9,1,Freshly Baked: The Robot Chicken Santa Claus Pot Cookie Freakout Special: Special Edition,{}
