Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 13, 2017",Recently Added,America's Got Talent,2006,12,22,Live Results 5,{}
"September 13, 2017",Recently Added,Big Brother 19,2017,1,36,Episode 36,{}
"September 13, 2017",Recently Added,MasterChef,2010,8,19,The Semi-Finals,{}
"September 13, 2017",Recently Added,Swedish Dicks,2017,1,8,SWD-170108,{}
"September 13, 2017",Recently Added,Marlon,2017,1,10,End of the Road,{}
"September 13, 2017",Recently Added,MasterChef,2010,8,19,The Semi-Finals,{}
"September 13, 2017",Recently Added,Salvation,2017,1,12,The Wormwood Prophecy,{}
"September 13, 2017",Recently Added,Suits,2011,7,10,Donna,{}
"September 13, 2017",Recently Added,Wahlburgers,2014,8,13,Alma's Gone Fishin',{}
"September 13, 2017",Recently Added,Marlon,2017,1,10,End of the Road,{}
"September 13, 2017",Recently Added,Odd Mom Out,2015,3,10,Blood Bath,{}
"September 13, 2017",Recently Added,Wahlburgers,2014,8,13,Alma's Gone Fishin',{}
"September 13, 2017",Recently Added,Greenleaf,2016,2,14,The Father's Will,{}
"September 13, 2017",Recently Added,"Midnight, Texas",2017,1,9,Riders on the Storm,{}
"September 13, 2017",Recently Added,South Park,1997,21,1,White People Renovating Houses,{}
"September 13, 2017",Recently Added,The Lowe Files,2017,1,7,Mind Games,{}
"September 13, 2017",Recently Added,The Sinner,2017,1,7,Part VII,{}
"September 13, 2017",Recently Added,The Ultimate Fighter,2005,26,3,Episode 3,{}
"September 13, 2017",Recently Added,You're The Worst,2014,4,3,Odysseus,{}
"September 13, 2017",Recently Added,Younger,2015,4,12,Irish Goodbye,{}
"September 13, 2017",Recently Added,Broad City,2014,4,1,Sliding Doors,{}
"September 13, 2017",Recently Added,Full Frontal with Samantha Bee,2016,2,18,Episode 18,{}
"September 13, 2017",Recently Added,Conan,2010,7,100,"Jackie Chan, Tig Notaro, Gov't Mule",{}
"September 13, 2017",Recently Added,The Daily Show,1996,23,128,"Chuck D, Tom Morello",{}
"September 13, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,138,"Julianne Moore, Shawn Mendes, Maren Morris",{}
