Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"January 25, 2018",Recently Added,Death in Paradise,2011,7,4,Episode 4,{}
"January 25, 2018",Recently Added,Beyond,2017,2,3,No Es Bueno,"{""hulu""=>[""1210982""]}"
"January 25, 2018",Recently Added,The Four: Battle for Stardom,2018,1,4,Week Four,{}
"January 25, 2018",Recently Added,Grey's Anatomy,2005,14,10,Personal Jesus,"{""hulu""=>[""1211163""]}"
"January 26, 2018",Recently Added,Mosaic,2018,1,6,Episode 6,{}
"January 25, 2018",Recently Added,RuPaul's Drag Race All Stars,2012,3,1,Episode 1,{}
"January 25, 2018",Recently Added,Supernatural,2005,13,11,Breakdown,{}
"January 25, 2018",Recently Added,Superstore,2015,3,11,Angels and Mermaids,"{""hulu""=>[""1211152""]}"
"January 25, 2018",Recently Added,The Good Place,2016,2,11,The Burrito,"{""hulu""=>[""1211162""]}"
"January 25, 2018",Recently Added,Arrow,2012,6,11,We Fall,{}
"January 25, 2018",Recently Added,Lip Sync Battle,2015,4,1,Taye Diggs vs. Erika Jayne,{}
"January 25, 2018",Recently Added,Million Dollar Listing: Los Angeles,2006,10,12,Unfinished Business,{}
"January 25, 2018",Recently Added,Nashville,2012,6,4,That's My Story,"{""hulu""=>[""1209551""]}"
"January 25, 2018",Recently Added,Project Runway All Stars,2012,6,4,Balls Out!,{}
"January 25, 2018",Recently Added,Scandal,2012,7,9,Good People,"{""hulu""=>[""1211168""]}"
"January 25, 2018",Recently Added,Great News,2017,2,13,Early Retirement,"{""hulu""=>[""1211185""]}"
