Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"December 26, 2017",Recently Added,Marvel's Runaways,2017,1,8,Tsunami,"{""hulu""=>[""1192859""]}"
"December 26, 2017",Recently Added,Travelers,2016,2,12,001,{}
"December 26, 2017",Recently Added,Travelers,2016,2,12,001,{}
"December 26, 2017",Recently Added,Travelers,2016,2,12,001,{}
"December 26, 2017",Recently Added,Travelers,2016,2,12,001,{}
"December 26, 2017",Recently Added,Travelers,2016,2,12,001,{}
"December 26, 2017",Recently Added,Travelers,2016,2,12,001,{}
"December 26, 2017",Recently Added,Travelers,2016,2,12,001,{}
