Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"December 25, 2017",Recently Added,Doctor Who,2006,10,14,Christmas Special,"{""amazon""=>[""primesignup"", ""primesignup"", ""primesignup"", ""primesignup""]}"
"December 25, 2017",Recently Added,Call the Midwife,2012,6,9,Christmas Special,{}
"December 25, 2017",Recently Added,American Dad!,2005,13,9,"Santa, Schmanta",{}
"December 25, 2017",Recently Added,Call the Midwife,2012,6,9,Christmas Special,{}
"December 25, 2017",Recently Added,Doctor Who,2006,10,14,Christmas Special,"{""amazon""=>[""primesignup"", ""primesignup"", ""primesignup"", ""primesignup""]}"
"December 25, 2017",Recently Added,Teen Mom OG,2015,5,99,That's a Wrap 2017,{}
"December 25, 2017",Recently Added,Floribama Shore,2017,1,6,Princess Goddess Mermaid,{}
