Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"June 30, 2017",Chelsea,2016,2,12,Episode 12,{}
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 30, 2017",Gypsy,2017,1,10,Black Barn,"{""netflixusa""=>[""80124351""]}"
"June 24, 2017",The Graham Norton Show,2017,21,11,Episode 11,{}
