Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 12, 2017",Recently Added,Difficult People,2015,3,8,Criminal Minds,"{""hulu""=>[""1136391""]}"
"September 12, 2017",Recently Added,The Mindy Project,2012,6,1,Is That All There Is,"{""hulu""=>[""1138146""]}"
"September 12, 2017",Recently Added,The Great British Bake Off,2010,8,3,Episode 3,{}
"September 12, 2017",Recently Added,Geordie Shore,2011,15,3,Episode 3,{}
"September 12, 2017",Recently Added,America's Got Talent,2006,12,21,Live Shows 5,{}
"September 5, 2017",Recently Added,Below Deck,2013,5,1,The 1 Percenters,"{""itunes""=>[""1279188634""], ""amazon""=>[""B075DKR9N2"", ""B075DHZ896""]}"
"September 5, 2017",Recently Added,Dance Moms,2011,9,6,"Stamina, Stamina, Stamina","{""itunes""=>[""1279397569""], ""amazon""=>[""B075DX9BGW"", ""B075F39LN4""]}"
"September 5, 2017",Recently Added,The Haves and the Have Nots,2013,5,22,For the Team,{}
"",Recently Added,Top of the Lake,2013,2,4,Birthday,"{""hulu""=>[""1131343""]}"
"September 5, 2017",Recently Added,American Horror Story,2011,7,1,Election Night,"{""itunes""=>[""1268292588""], ""amazon""=>[""B075DF34LM"", ""B075D4VPHT""]}"
"September 5, 2017",Recently Added,Being Mary Jane,2013,4,18,Feeling Destined,"{""amazon""=>[""B075D93GMZ"", ""B075DB6X56""]}"
"September 5, 2017",Recently Added,Chopped,2009,35,8,Food Truck Luck,"{""amazon""=>[""B075D848XL"", ""B075D8C6PQ""]}"
"April 11, 2017",Recently Added,Chrisley Knows Best,2014,5,8,Dancing Tween,"{""amazon""=>[""B06Y667TRT"", ""B06Y92XHWD""]}"
"September 5, 2017",Recently Added,Ink Master,2012,9,14,Sell Out,"{""itunes""=>[""1278376244""], ""amazon""=>[""B075DD8ZSH"", ""B075DBTHY1""]}"
"September 5, 2017",Recently Added,Leah Remini: Scientology and the Aftermath,2016,2,4,The Bridge to Total Freedom,"{""amazon""=>[""B075F12Q6M"", ""B075DYQ4V1""]}"
"September 5, 2017",Recently Added,Somewhere Between,2017,1,8,Destiny's Child,"{""hulu""=>[""1136384""], ""itunes""=>[""1278753510""], ""amazon""=>[""B075DXFHRY"", ""B075DK7G46""]}"
"September 5, 2017",Recently Added,The Challenge XXX: Dirty 30,2017,30,8,Dirty Little Secret,{}
"",Recently Added,Top of the Lake,2013,2,4,Birthday,"{""hulu""=>[""1131343""]}"
"September 11, 2017",Recently Added,Conan,2010,7,98,"Heather Graham, Adam Conover, Jenny Zigrino",{}
"September 11, 2017",Recently Added,The Daily Show,1996,23,126,Idris Elba,{}
"September 11, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,136,"Seth Meyers, Russell Westbrook, Prophets of Rage",{}
