Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"February 14, 2018",Recently Added,2018 Winter Olympics,2018,1,6,"Olympics 2018 Prime Time: Figure Skating, Alpine Skiing, Skeleton, Speed Skating",{}
"February 13, 2018",Recently Added,America's Next Top Model,2003,24,6,Beauty Is Pride,{}
"February 13, 2018",Recently Added,The Fosters,2013,5,15,Mother's Day,{}
"February 13, 2018",Recently Added,Black Lightning,2018,1,5,And Then the Devil Brought the Plague: The Book of Green Light,{}
"February 13, 2018",Recently Added,The Challenge,1998,31,7,Pulling the Strings,{}
"February 13, 2018",Recently Added,The Haves and the Have Nots,2013,6,6,Hanna's Tea,{}
"February 13, 2018",Recently Added,Intervention,2005,18,7,The Heroin Triangle (7),{}
"February 13, 2018",Recently Added,The Real Housewives of Beverly Hills,2010,8,9,That Was Weird,{}
"February 14, 2018",Recently Added,Schitt's Creek,2015,4,4,Girls' Night,{}
"February 13, 2018",Recently Added,Baskets,2016,3,4,A Night at the Opera,{}
"February 13, 2018",Recently Added,Bethenny & Fredrik,2018,1,3,Hitting the Pavement,{}
"February 13, 2018",Recently Added,Chopped,2009,36,9,"Chocolate, Chocolate, Chocolate!",{}
"February 13, 2018",Recently Added,The Detour,2016,3,4,The Goal,{}
"February 13, 2018",Recently Added,Drunk History,2013,5,4,Sex,{}
"February 13, 2018",Recently Added,Ink Master,2012,10,6,Chin Up,{}
"February 13, 2018",Recently Added,The Quad,2017,2,4,I Am Not Your Negro,{}
"February 13, 2018",Recently Added,Another Period,2015,3,4,The Love Boat,{}
"February 14, 2018",Recently Added,The Daily Show,1996,24,26,My Super Tweet 16,{}
