Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 22, 2017",Cold Justice,2013,4,1,One of Our Own,{}
"July 22, 2017",Doubt,2017,1,7,Where Do We Go From Here?,{}
"July 22, 2017",My Cat From Hell,2011,9,14,Cats in Isolation,{}
"July 15, 2017",Still Star-Crossed,2017,1,5,Nature Hath Framed Strange Fellows in Her Time,"{""itunes""=>[""1260201469""], ""amazon""=>[""B073YN5B8M"", ""B073YMZKXP""]}"
"July 22, 2017",Doubt,2017,1,7,Where Do We Go From Here?,{}
"July 15, 2017",For Better or Worse,2011,7,17,Make Him Call Your Name,{}
"July 15, 2017",For Better or Worse,2011,7,17,Make Him Call Your Name,{}
"July 15, 2017",For Better or Worse,2011,7,17,Make Him Call Your Name,{}
"July 15, 2017",Orphan Black,2013,5,6,Manacled Slim Wrists,"{""amazon""=>[""B073X67NPC"", ""B073X6P897""]}"
"July 15, 2017",Say Yes to the Dress,2007,15,16,Outside the Box Dresses,{}
"July 15, 2017",TURN: Washington's Spies,2014,4,6,Our Man in New York,"{""amazon""=>[""B073X69L1Y"", ""B073X5G64G""]}"
"July 20, 2017",Conan,2010,7,83,From Comic-Con 2017,{}
