Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 9, 2017",Poldark,2015,3,5,Episode 5,{}
"July 9, 2017",One Piece,1999,8,796,Kingdom of Souls – Mom’s Fearsome Power!,{}
"July 6, 2017",Big Brother 19,2017,1,5,Episode 5,{}
"July 9, 2017",Celebrity Family Feud,2015,3,4,MLB Legends vs NBA Legends and NFL All-Stars vs NFL Legends,{}
"July 2, 2017",American Grit,2016,2,4,Secrets Are Revealed,"{""amazon""=>[""B073JL7V86"", ""B073JLHPG1""]}"
"July 2, 2017",Botched,2014,4,3,All Twerk And No Play,"{""amazon""=>[""B073NKBH6D"", ""B073NLQ7PL""]}"
"July 2, 2017",Claws,2017,1,4,Fallout,"{""amazon""=>[""B073NLLWWP"", ""B073NLPBTL""]}"
"July 2, 2017",Fear the Walking Dead,2015,3,6,Red Dirt,"{""amazon""=>[""B073K2ZYZ6"", ""B073JZKV5L""]}"
"July 2, 2017",Food Network Star,2005,13,6,Sunny's Kitchen Hacks,"{""amazon""=>[""B073HMZKPN"", ""B073HKFCW7""]}"
"July 2, 2017",Grantchester,2017,3,2,Episode 2,{}
"July 2, 2017",Power,2014,4,2,Things Are Going to Get Worse,{}
"June 25, 2017",Twin Peaks,2017,1,8,Part 8,{}
"July 2, 2017",Fear the Walking Dead,2015,3,6,Red Dirt,"{""amazon""=>[""B073K2ZYZ6"", ""B073JZKV5L""]}"
"June 25, 2017",I'm Dying Up Here,2017,1,4,Sugar and Spice,"{""showtimeanytime""=>[""3433214""]}"
"July 2, 2017",Talking Dead,2011,6,21,Episode 21,{}
