Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 12, 2017",Big Brother 19,2017,1,7,Episode 7,{}
"July 12, 2017",Catfish: The TV Show,2012,6,18,April & Dean,{}
"June 28, 2017",MasterChef,2010,8,5,Shell-Shocked & Scrambled,"{""hulu""=>[""1105919"", ""1105773""], ""itunes""=>[""1250605513""], ""amazon""=>[""B073DF1D2L""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 5, 2017",Kingdom,2014,3,6,All Talk,{}
"March 1, 2017",Suits,2011,6,16,Character and Fitness,"{""amazon""=>[""primesignup"", ""primesignup"", ""primesignup"", ""primesignup""]}"
"July 5, 2017",The Carmichael Show,2015,3,7,Morris,"{""amazon""=>[""B073PH4SK7"", ""B073PGYZGM""]}"
"June 28, 2017",The F Word,2017,1,5,Episode 5,"{""itunes""=>[""1254020496""]}"
"July 5, 2017",The Real Housewives of New York City,2008,9,14,A Slippery Slope,"{""itunes""=>[""1255301527""]}"
"July 5, 2017",Blood Drive,2017,1,4,In the Crimson Halls of Kane Hill,"{""itunes""=>[""1255334169""], ""amazon""=>[""B073PHF229"", ""B073PHKZFS""]}"
"July 5, 2017",Cleverman,2016,2,2,Bindawu,"{""amazon""=>[""B073QRN6Y5"", ""B073QRHLJL""]}"
"July 5, 2017",Lip Sync Battle,2015,3,24,TMI: Taye Diggs vs. Ne-Yo,{}
"July 5, 2017",Lip Sync Battle,2015,3,24,TMI: Taye Diggs vs. Ne-Yo,{}
