Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 25, 2017",Casual,2015,3,12,99,"{""hulu""=>[""1117262""]}"
"July 25, 2017",Ex On The Beach,2014,7,6,Episode 6,{}
"July 25, 2017",America's Got Talent,2006,12,9,Judge Cuts 2,{}
"July 25, 2017",The Fosters,2013,5,3,Contact,{}
"July 18, 2017",Animal Kingdom,2016,2,7,Dig,"{""amazon""=>[""B0741BQYR1"", ""B07419WTQ4""]}"
"July 18, 2017",Below Deck Mediterranean,2016,2,11,The Dubrovnik Wedgie,"{""amazon""=>[""B074186H5C"", ""B074186H6L""]}"
"July 18, 2017",Face Off,2011,12,5,String Theory,"{""amazon""=>[""B0741FL8HK"", ""B0741F2KWF""]}"
"July 18, 2017",The Bold Type,2017,1,3,The Woman Behind the Clothes,"{""hulu""=>[""1114317""], ""amazon""=>[""B0741MSBCX"", ""B0741GKXDD""]}"
"July 18, 2017",The Challenge XXX: Dirty 30,2017,1,2,Dirty 30: Thirty Rotten Scoundrels,{}
"July 18, 2017",The Haves and the Have Nots,2013,5,15,A Woman Under The Stairs,{}
"July 18, 2017",Adam Ruins Everything,2015,2,2,Adam Ruins Weight Loss,"{""amazon""=>[""B073ZMQ461"", ""B073ZMTV53""]}"
"July 18, 2017",Being Mary Jane,2013,4,11,Feeling Raw,"{""amazon""=>[""B073ZLTJB5"", ""B073ZMQ1T8""]}"
"July 18, 2017",Chopped,2009,35,1,Clam Clash,"{""amazon""=>[""B0743Q63CJ"", ""B0743ZV854""]}"
"July 18, 2017",Ink Master,2012,9,7,Get the Flock Outta Here,"{""amazon""=>[""B0741P5K57"", ""B0741LYN2J""]}"
"July 18, 2017",Shooter,2016,2,1,The Hunting Party,"{""amazon""=>[""B073ZM3TL7"", ""B073ZMFLBB""]}"
"July 18, 2017",World of Dance,2017,1,7,The Cut 1,{}
"July 18, 2017",Wrecked,2016,2,5,No One Rides for Free,{}
"July 24, 2017",The Daily Show,1996,23,103,French Montana,{}
"July 24, 2017",The Late Show With Stephen Colbert,2015,3,118,"Paul Bettany, Laura Benanti, Tyler the Creator",{}
"July 24, 2017",The Tonight Show Starring Jimmy Fallon,2014,2017,112,"Rob Lowe, Chrissy Metz, Fifth Harmony featuring Gucci Mane",{}
