Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"June 25, 2017",Poldark,2015,3,3,Episode 3,{}
"June 25, 2017",One Piece,1999,8,794,A Showdown Between Father and Son – Judge vs. Sanji,{}
"June 29, 2017",Big Brother 19,2017,1,2,Episode 2,{}
"June 18, 2017",The Real Housewives of Potomac,2016,2,11,The Grand Dame Sham,"{""itunes""=>[""1248475104""], ""amazon""=>[""B072R61DZQ"", ""B0721V43V7""]}"
"June 24, 2017",American Grit,2016,2,3,Liar Liar,"{""hulu""=>[""1103950"", ""1099576"", ""1099574"", ""1099553""], ""amazon""=>[""B0733NSWPL"", ""B0733NYFQN""]}"
"June 25, 2017",Botched,2014,4,2,Comic Proportions,"{""amazon""=>[""B0739QZRMB"", ""B0739QG3G5""]}"
"June 25, 2017",Claws,2017,1,3,Quicksand,"{""amazon""=>[""B0739RBGNH"", ""B0739NF8S3""]}"
"June 25, 2017",Fear the Walking Dead,2015,3,5,"Burning in Water, Drowning in Flame","{""amazon""=>[""B0735KJVV6"", ""B0735LX77Z""]}"
"June 25, 2017",Food Network Star,2005,13,5,Glamping,{}
"June 25, 2017",Good Witch,2008,3,9,"Not Getting Married Today, Part 1","{""amazon""=>[""B0733MWNFR"", ""B0733NQYVG""]}"
"June 25, 2017",Grantchester,2017,3,1,Episode 1,"{""itunes""=>[""1238330488""]}"
"June 25, 2017",Power,2014,4,1,When I Get Out,{}
"April 9, 2017",Bar Rescue,2011,5,21,Back to the Bar: Hallelujah for Jon,"{""amazon""=>[""B06Y4BVSWB"", ""B06Y4G11C2""]}"
"June 25, 2017",Talking Dead,2011,6,20,Episode 20,{}
"June 25, 2017",Last Week Tonight with John Oliver,2014,4,17,Vaccines,{}
