Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"November 21, 2017",Recently Added,Marvel's Runaways,2017,1,3,Destiny,"{""hulu""=>[""1175005"", ""1175005""]}"
"November 21, 2017",Recently Added,Marvel's Runaways,2017,1,3,Destiny,"{""hulu""=>[""1175005"", ""1175005""]}"
"November 21, 2017",Recently Added,Marvel's Runaways,2017,1,3,Destiny,"{""hulu""=>[""1175005"", ""1175005""]}"
"November 21, 2017",Recently Added,The Flash,2014,4,7,Therefore I Am,{}
"November 21, 2017",Recently Added,Leah Remini: Scientology and the Aftermath,2016,2,14,Ask Me Anything Season 2,{}
"November 21, 2017",Recently Added,Lethal Weapon,2016,2,7,Birdwatching,"{""hulu""=>[""1179244""]}"
"November 21, 2017",Recently Added,The Middle,2009,9,8,Eyes Wide Open,"{""hulu""=>[""1179226""]}"
"November 21, 2017",Recently Added,NCIS,2003,15,9,Ready or Not,{}
"November 21, 2017",Recently Added,The Voice,2011,13,19,Live Top 12 Eliminations,{}
"November 21, 2017",Recently Added,WWE Smackdown,1999,2017,45,"Houston, TX",{}
"November 21, 2017",Recently Added,Fresh Off The Boat,2015,4,8,The Vouch,"{""hulu""=>[""1179228""]}"
"November 21, 2017",Recently Added,Below Deck,2013,5,12,You Don't Mess With the Primary,{}
"November 21, 2017",Recently Added,Bull,2016,2,9,Thanksgiving,{}
"November 21, 2017",Recently Added,The Challenge,1998,30,20,Dirty 30 finale - Part 2,{}
"November 21, 2017",Recently Added,The Challenge: The Miniseries,2017,2,1,Episode 1,{}
"November 21, 2017",Recently Added,Dancing with the Stars,2005,25,12,Episode 12,{}
"November 21, 2017",Recently Added,DC's Legends of Tomorrow,2016,3,7,Welcome to the Jungle,{}
"November 21, 2017",Recently Added,If Loving You is Wrong,2014,4,9,"Chains, Guns, and Automobiles",{}
"November 21, 2017",Recently Added,The Little Couple,2009,11,10,Let's Go in the Snow!,{}
"November 21, 2017",Recently Added,Major Crimes,2012,6,4,Sanctuary City: Part 4,{}
"November 21, 2017",Recently Added,The Mick,2017,2,7,The Homecoming,"{""hulu""=>[""1178605""]}"
"November 21, 2017",Recently Added,This Is Us,2016,2,9,Number Two,"{""hulu""=>[""1179337""]}"
"November 21, 2017",Recently Added,Brooklyn Nine-Nine,2013,5,7,Two Turkeys,"{""hulu""=>[""1178608""]}"
"November 21, 2017",Recently Added,Chicago Med,2015,3,1,Speak Your Truth,"{""hulu""=>[""1179075""]}"
"November 21, 2017",Recently Added,Damnation,2017,1,3,One Penny,{}
"November 21, 2017",Recently Added,NCIS: New Orleans,2014,4,9,Hard Knock Life,{}
"November 21, 2017",Recently Added,Teachers,2016,2,13,Dire Straights,{}
"November 21, 2017",Recently Added,Tosh.0,2009,9,30,Episode 30,{}
"November 21, 2017",Recently Added,The Late Show With Stephen Colbert,2015,3,182,"Benjamin Bratt, Daveed Diggs, Gregory Porter",{}
"November 21, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,177,"Gwen Stefani, Justin Hartley, Johnny Bananas",{}
