Despicable Me,Average Rating: 6.6/10,2013,Kids & Family,"[""Steve Carell"", ""Kristen Wiig"", ""Benjamin Bratt"", ""Miranda Cosgrove"", ""Russell Brand"", ""Steve Coogan"", ""Ken Jeong"", ""Elsie Fisher"", ""Dana Gaier"", ""Moisés Arias""]","[""Chris Meledandri"", ""Janet Healy""]","[""Chris Renaud"", ""Pierre Coffin""]"
The Lord of the Rings: The Return of the King,Average Rating: 6.8/10,2010,Kids & Family,"[""Steve Carell"", ""Jason Segel"", ""Russell Brand"", ""Kristen Wiig"", ""Miranda Cosgrove"", ""Will Arnett"", ""Danny McBride"", ""Jack McBrayer"", ""Julie Andrews""]","[""Chris Meledandri"", ""Janet Healy"", ""John Cohen""]","[""Chris Renaud"", ""Pierre Coffin""]"
The Avengers,Average Rating: 8.7/10,2003,Action & Adventure,"[""Orlando Bloom"", ""Cate Blanchett"", ""Sean Astin"", ""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""John Rhys-Davies"", ""Bernard Hill"", ""Billy Boyd"", ""Dominic Monaghan"", ""Brad Dourif"", """", """", """", """", """", """", """", """", """", """"]",[],"[""Peter Jackson""]"
The LEGO Movie,Average Rating: 8.0/10,2012,Action & Adventure,"[""Robert Downey Jr."", ""Chris Evans"", ""Mark Ruffalo"", ""Chris Hemsworth"", ""Scarlett Johansson"", ""Jeremy Renner"", ""Tom Hiddleston"", ""Clark Gregg"", ""Cobie Smulders"", ""Stellan Skarsgård"", ""Samuel L. Jackson""]","[""Kevin Feige""]","[""Joss Whedon""]"
The Lord of the Rings: The Fellowship of the Ring,Average Rating: 8.2/10,2014,Kids & Family,"[""Chris Pratt"", ""Will Ferrell"", ""Elizabeth Banks"", ""Will Arnett"", ""Nick Offerman"", ""Alison Brie"", ""Charlie Day"", ""Liam Neeson"", ""Morgan Freeman""]","[""Dan Lin"", ""Roy Lee""]","[""Phil Lord"", ""Christopher Miller""]"
Spectre,Average Rating: 8.2/10,2002,Action & Adventure,"[""Elijah Wood"", ""Ian McKellen"", ""Ian Holm"", ""Viggo Mortensen"", ""Sean Bean"", ""Sean Astin"", ""John Rhys-Davies"", ""Billy Boyd"", ""Cate Blanchett"", ""Orlando Bloom"", ""Liv Tyler"", ""Hugo Weaving"", """"]","[""Peter Jackson"", ""Barrie M. Osborne"", ""Tim Sanders"", ""Fran Walsh""]","[""Peter Jackson""]"
21 Jump Street,Average Rating: 6.4/10,2015,Action & Adventure,"[""Dave Bautista"", ""Monica Bellucci"", ""Daniel Craig"", ""Ralph Fiennes"", ""Naomie Harris"", ""Rory Kinnear"", ""Andrew Scott"", ""Léa Seydoux"", ""Christoph Waltz"", ""Ben Whishaw""]","[""Barbara Broccoli"", ""Michael G. Wilson""]","[""Sam Mendes""]"
"Harry Potter and the Deathly Hallows, Part 1",Average Rating: 7.2/10,2012,Comedy,"[""Jonah Hill"", ""Channing Tatum"", ""Brie Larson"", ""Dave Franco"", ""Rob Riggle"", ""DeRay Davis"", ""Ice Cube""]","[""Neal H. Moritz"", ""Stephen J. Cannell""]","[""Phil Lord"", ""Christopher Miller""]"
Star Wars: The Force Awakens,Average Rating: 7.2/10,2010,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Warwick Davis"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Alan Rickman""]","[""David Heyman"", ""David Barron"", ""J.K. Rowling""]","[""David Yates""]"
Interstellar,Average Rating: 8.2/10,2015,Action & Adventure,"[""Harrison Ford"", ""Mark Hamill"", ""Carrie Fisher"", ""Adam Driver"", ""Daisy Ridley"", ""John Boyega"", ""Oscar Isaac"", ""Lupita Nyong'o"", ""Andy Serkis"", ""Domhnall Gleeson"", ""Anthony Daniels"", ""Max von Sydow"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""J.J. Abrams"", ""Kathleen Kennedy"", ""Bryan Burk""]","[""J.J. Abrams""]"
