Movie Title,Release Year,Genre,Actors,Producers,Directors
21 Jump Street,2015,Action & Adventure,"[""Dave Bautista"", ""Monica Bellucci"", ""Daniel Craig"", ""Ralph Fiennes"", ""Naomie Harris"", ""Rory Kinnear"", ""Andrew Scott"", ""Léa Seydoux"", ""Christoph Waltz"", ""Ben Whishaw""]","[""Barbara Broccoli"", ""Michael G. Wilson""]","[""Sam Mendes""]"
"Harry Potter and the Deathly Hallows, Part 1",2012,Comedy,"[""Jonah Hill"", ""Channing Tatum"", ""Brie Larson"", ""Dave Franco"", ""Rob Riggle"", ""DeRay Davis"", ""Ice Cube""]","[""Neal H. Moritz"", ""Stephen J. Cannell""]","[""Phil Lord"", ""Christopher Miller""]"
The LEGO Movie,2010,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Warwick Davis"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Alan Rickman""]","[""David Heyman"", ""David Barron"", ""J.K. Rowling""]","[""David Yates""]"
Star Wars: The Force Awakens,2014,Kids & Family,"[""Chris Pratt"", ""Will Ferrell"", ""Elizabeth Banks"", ""Will Arnett"", ""Nick Offerman"", ""Alison Brie"", ""Charlie Day"", ""Liam Neeson"", ""Morgan Freeman""]","[""Dan Lin"", ""Roy Lee""]","[""Phil Lord"", ""Christopher Miller""]"
Interstellar,2015,Action & Adventure,"[""Harrison Ford"", ""Mark Hamill"", ""Carrie Fisher"", ""Adam Driver"", ""Daisy Ridley"", ""John Boyega"", ""Oscar Isaac"", ""Lupita Nyong'o"", ""Andy Serkis"", ""Domhnall Gleeson"", ""Anthony Daniels"", ""Max von Sydow"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""J.J. Abrams"", ""Kathleen Kennedy"", ""Bryan Burk""]","[""J.J. Abrams""]"
Kingsman: The Secret Service,2014,Sci-Fi & Fantasy,"[""Matthew McConaughey"", ""Anne Hathaway"", ""Jessica Chastain"", ""Bill Irwin"", ""Ellen Burstyn"", ""Michael Caine""]","[""Christopher Nolan"", ""Emma Thomas"", ""Lynda Obst"", ""Jordan Goldberg"", ""Jake Myers"", ""Kip Thorne"", ""Thomas Tull""]","[""Christopher Nolan""]"
Batman Begins,2015,Action & Adventure,"[""Colin Firth"", ""Samuel L. Jackson"", ""Mark Strong"", ""Taron Egerton"", ""Michael Caine""]",[],"[""Matthew Vaughn""]"
Harry Potter and the Deathly Hallows - Part 2,2005,Action & Adventure,"[""Christian Bale"", ""Liam Neeson"", ""Katie Holmes"", ""Gary Oldman"", ""Michael Caine"", ""Cillian Murphy"", ""Tom Wilkinson"", ""Morgan Freeman"", ""Rutger Hauer"", ""Ken Watanabe""]","[""Emma Thomas"", ""Charles Roven"", ""Larry Franco""]","[""Christopher Nolan""]"
The Bourne Legacy,2011,Kids & Family,"[""Emma Watson"", ""Ralph Fiennes"", ""Daniel Radcliffe"", ""Gary Oldman"", ""Helena Bonham Carter"", ""Rupert Grint"", ""Alan Rickman"", ""Tom Felton"", ""Bonnie Wright"", ""Jason Isaacs"", ""Michael Gambon"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""David Barron"", ""David Heyman""]","[""David Yates""]"
The Dark Knight Rises,2012,Action & Adventure,"[""Jeremy Renner"", ""Rachel Weisz"", ""Edward Norton"", ""Stacy Keach"", ""Dennis Boutsikaris"", ""Oscar Isaac"", ""Joan Allen"", ""Albert Finney"", ""David Strathairn"", ""Scott Glenn""]","[""Ben Smith"", ""Jeffrey M. Weiner"", ""Patrick Crowley"", ""Frank Marshall""]","[""Tony Gilroy""]"
Jurassic World,2012,Action & Adventure,"[""Christian Bale"", ""Anne Hathaway"", ""Tom Hardy"", ""Marion Cotillard"", ""Joseph Gordon-Levitt"", ""Michael Caine"", ""Gary Oldman"", ""Morgan Freeman""]","[""Emma Thomas"", ""Christopher Nolan"", ""Charles Roven""]","[""Christopher Nolan""]"
The Hunger Games: Mockingjay - Part 1,2015,Action & Adventure,"[""Chris Pratt"", ""Bryce Dallas Howard"", ""Vincent D'Onofrio"", ""Ty Simpkins"", ""Nick Robinson"", ""Omar Sy"", ""B.D. Wong"", ""Irrfan Khan""]","[""Frank Marshall"", ""Patrick Crowley""]","[""Colin Trevorrow""]"
