Movie Title,Release Year,Genre,Actors,Producers,Directors
Gabbar is Back,2012,Bollywood,"[""Akshay Kumar"", ""Asin Thottumkal"", ""John Abraham"", ""Riteish Deshmukh"", ""Zareen Khan"", ""Shreyas Talpade"", ""Shazahn Padamsee"", ""Chunky Pandey"", ""Mithun Chakraborty"", ""Rishi Kapoor"", ""Randhir Kapoor"", """"]","[""Sajid Nadiadwala""]","[""Sajid Khan""]"
Baaghi,2015,Bollywood,"[""Akshay Kumar"", ""Shruti Haasan"", ""Sunil Grover"", ""Kareena Kapoor""]","[""Sanjay Leela Bhansali"", ""Shabina Khan""]","[""Radha Krishna Jagarlamudi""]"
Tanu Weds Manu,2016,Bollywood,"[""Tiger Shroff"", ""Shraddha Kapoor"", ""Sudheer Babu Posani"", ""Sunil Grover"", ""Grandmaster Shifuji Shaurya Bharadwaj"", ""Sanjay Mishra"", ""Aryan Jigar Prajapati"", ""Sourav Chakrabarty""]","[""Sajid Nadiadwala""]","[""Sabbir Khan""]"
D-Day,2011,Bollywood,"[""R Madhavan"", ""Kangana Ranaut"", ""Jimmy Shergill""]","[""Vinod Bachan"", ""Shailesh R. Singh"", ""Surya Singh""]","[""Anand L. Rai""]"
Fanaa,2013,Bollywood,"[""Rishi Kapoor"", ""Irrfan Khan"", ""Arjun Rampal"", ""Huma Qureshi"", ""Shruti Hassan"", ""Nasser"", ""Imran Hasnee"", ""Ashwin Dhar""]","[""Monisha Advani"", ""Arun Rangachari"", ""Vivek Rangachari"", ""Madhu Bhojwani""]","[""Nikhil Advani""]"
Ek Tha Tiger,2006,Bollywood,"[""Aamir Khan"", ""Kajol""]","[""Aditya Chopra""]","[""Kunal Kohli""]"
Aligarh,2012,Bollywood,"[""Salman Khan"", ""Katrina Kaif"", ""Girish Karnad"", ""Ranveer Shorey""]","[""Aditya Chopra""]","[""Kabir Khan""]"
Agneepath,2016,Bollywood,"[""Manoj Bajpayee"", ""Rajkummar Rao"", ""Ashish Vidyarthi"", ""Ishwak Singh"", ""Nutan Surya"", ""Prashant Kumar"", ""Suman Vaidya"", ""Nitin Goel"", ""Shrikant""]","[""Sunil Lulla"", ""Shailesh R. Singh""]","[""Hansal Mehta""]"
ABCD: Any Body Can Dance,2012,Bollywood,"[""Hrithik Roshan"", ""Priyanka Chopra"", ""Sanjay Dutt"", ""Rishi Kapoor"", ""Om Puri"", ""Zarina Wahab"", ""Chetan Pandit""]","[""Hiroo Yash Johar"", ""Karan Johar""]","[""Karan Malhotra""]"
Housefull,2013,Bollywood,"[""Prabhudheva"", ""Ganesh Acharya"", ""Kay Kay Menon"", ""Lauren Gottlieb"", ""Dharmesh Yelande"", ""Salman Yusuff Khan""]","[""Ronnie Screwvala"", ""Siddharth Roy Kapur""]","[""Remo Dsouza""]"
Begum Jaan,2010,Bollywood,"[""Akshay Kumar"", ""Deepika Padukone"", ""Riteish Deshmukh"", ""Lara Dutta"", ""Jiah Khan"", ""Arjun Rampal"", ""Boman Irani"", ""Randhir Kapoor"", ""Chunky Pandey"", ""Lillete Dubey""]","[""Sajid Nadiadwala""]","[""Sajid Khan""]"
A Wednesday,2017,Bollywood,"[""Vidya Balan"", ""Ila Arun"", ""Naseeruddin Shah"", ""Rajit Kapoor"", ""Ashish Vidyarthi"", ""Vivek Mushran"", ""Chunky Pandey"", ""Gauhar Khan"", ""Pallavi Sharda""]","[""Mukesh Bhatt"", ""Vishesh Bhatt"", ""PLAY Entertainment""]","[""Srijit Mukherji""]"
Duplicate,2015,Bollywood,"[""Anupam Kher"", ""Naseeruddin Shah"", ""Jimmy Shergill"", ""Deepal Shaw"", ""Aamir Bashir""]","[""Ronnie Screwvala"", ""Anjum Rizvi"", ""Shital Bhatia""]","[""Neeraj Pandey""]"
Singh Is Bliing,1998,Bollywood,"[""Shah Rukh Khan"", ""Juhi Chawla"", ""Sonali Bendre"", ""Mohnish Bahl"", ""Tiku Talsania"", ""Sharat Saxena"", ""Gulshan Grover"", ""Farida Jalal"", ""Rana Jung Bahadur""]","[""Yash Johar""]","[""Mahesh Bhatt""]"
Guru,2015,Bollywood,"[""Akshay Kumar"", ""Kay Kay Menon"", ""Amy Jackson"", ""Lara Dutta"", ""Pradeep Rawat"", ""Anil Mange"", ""Arfi Lamba"", ""Rati Agnihotri"", ""Yograj Singh"", ""Kunal Kapoor"", ""Sunny Leone""]","[""Akshay Jayantilal Gada"", ""Ashvini Yardi"", ""Jayantilal Gada""]","[""Prabhu Deva""]"
Dil Se,2007,Bollywood,"[""Abhishek Bachchan"", ""Aishwarya Rai"", ""R Madhavan"", ""Vidya Balan"", ""Mithun Chakraborty"", ""Aarya Babbar"", ""Mallika Sherawat"", ""Manoj Joshi""]","[""Mani Ratnam"", ""G Srinivasan""]","[""Mani Ratnam""]"
Singh is Kinng,1998,Bollywood,"[""Shah Rukh Khan"", ""Manisha Koirala"", ""Preity Zinta"", ""Malaika Arora"", ""Mita Vasisht"", ""Sabyasachi Chakravarthy"", ""Krisnkant"", ""Raghuvir Yadav"", ""Ken Philip"", ""Sanjay Mishra"", ""Arundathi Roa"", """", """", """", """", """", """", """", """"]","[""Mani Ratnam"", ""Shekhar Kapur"", ""Ramgopal Varma""]","[""Mani Ratnam""]"
Mere Brother Ki Dulhan,2008,Bollywood,"[""Akshay Kumar"", ""Katrina Kaif"", ""Neha Dhupia"", ""Sonu Sood"", ""Jaaved Jaaferi"", ""Ranvir Shorey"", ""Om Puri"", ""Snoop Dogg""]","[""Vipul Amrutlal Shah""]","[""Anees Bazmee""]"
Bank Chor,2011,Bollywood,"[""Imran Khan"", ""Ali Zafar"", ""Katrina Kaif""]","[""Aditya Chopra""]","[""Ali Abbas Zafar""]"
Hum-Tum,2017,Bollywood,"[""Riteish Deshmukh"", ""Vivek Anand Oberoi"", ""Rhea Chakraborty""]","[""Ashish Patil""]","[""Bumpy""]"
Dabangg,2004,Bollywood,"[""Saif Ali Khan"", ""Rani Mukerji""]","[""Aditya Chopra""]","[""Kunal Kohli""]"
Anjaana Anjaani,2010,Bollywood,"[""Salman Khan"", ""Sonakshi Sinha"", ""Ram Sujan"", ""Vinod Khanna"", ""Mahesh Manjrekar"", ""Anupam Kher"", ""Dimple Kapadia"", ""Sonu Sood"", ""Arbaaz Khan"", ""Mahie Gill"", ""Om Puri"", ""Murli Sharma""]","[""Arbaaz Khan"", ""Malaika Arora Khan"", ""Dhilin Mehta""]","[""Abhinav Singh Kashyap""]"
Daawat-e-Ishq,2010,Bollywood,"[""Ranbir Kapoor"", ""Priyanka Chopra"", ""Zayed Khan""]","[""Sajid Nadiadwala""]","[""Siddharth Anand""]"
Kis Kisko Pyaar Karoon,2014,Bollywood,"[""Parineeti Chopra"", ""Aditya Roy Kapoor""]","[""Aditya Chopra""]","[""Habib Faisal""]"
Bachna Ae Haseeno,2015,Bollywood,"[""Kapil Sharma"", ""Simran Kaur Mundi"", ""Manjari Fadnis"", ""Sai Lokur"", ""Elli Avram""]","[""Abbas Burmawalla"", ""Mustan Burmawalla"", ""Ganesh Jain"", ""Ratan Jain""]","[""Abbas Burmawalla"", ""Mustan Burmawalla""]"
Dharam Sankat Mein,2008,Bollywood,"[""Ranbir Kapoor"", ""Bipasha Basu"", ""Deepika Padukone"", ""Minissha Lamba""]","[""Aditya Chopra""]","[""Siddharth Anand""]"
Housefull 3,2015,Bollywood,"[""Naseeruddin Shah"", ""Paresh Rawal"", ""Annu Kapoor""]","[""Sajjad Chunawala"", ""Shariq Patel""]","[""Fuwad Khan""]"
Andaz Apna Apna,2016,Bollywood,"[""Akshay Kumar"", ""Riteish Deshmukh"", ""Abhishek Bachchan"", ""Jacqueline Fernandez"", ""Lisa Haydon"", ""Nargis Fakhri"", ""Boman Irani"", ""Chunkey Pandey"", ""Jackie Shroff"", ""Samir Kochhar"", ""Nikitin Dheer"", """"]","[""Sajid Nadiadwala""]","[""Farhad"", ""Sajid""]"
Ladies vs Ricky Bahl,1994,Bollywood,"[""Aamir Khan"", ""Salman Khan"", ""Raveena Tandon"", ""Karisma Kapoor"", ""Paresh Rawal"", ""Mehmood"", ""Shakti Kapoor"", ""Viju Khote"", ""Shehzad Khan"", ""Deven Verma"", ""Jagdeep"", ""Tiku Talsania"", """", """"]","[""Vinay Kumar Sinha""]","[""Rajkumar Santoshi""]"
Raajneeti,2011,Bollywood,"[""Ranveer Singh"", ""Anushka Sharma"", ""Parineeti Chopra"", ""Dipannita Sharma"", ""Aditi Sharma""]","[""Aditya Chopra""]","[""Maneesh Sharma""]"
Band Baaja Baaraat,2010,Bollywood,"[""Ajay Devgn"", ""Nana Patekar"", ""Ranbir Kapoor"", ""Katrina Kaif"", ""Arjun Rampal"", ""Manoj Bajpayee"", ""Sarah Thompson Kane"", ""Naseeruddin Shah""]","[""Prakash Jha""]","[""Prakash Jha""]"
Billu,2010,Bollywood,"[""Anushka Sharma"", ""Ranveer Singh""]","[""Aditya Chopra""]","[""Maneesh Sharma""]"
Ugly,2009,Bollywood,"[""Shah Rukh Khan"", ""Irrfan Khan"", ""Lara Dutta""]","[""Gauri Khan""]","[""Priyadarshan""]"
Hamari Adhuri Kahani,2015,Bollywood,"[""Rahul Bhat"", ""Ronit Roy"", ""Tejaswini Kolhapure"", ""Vineet Kumar Singh"", ""Surveen Chawla"", ""Siddhanth Kapoor"", ""Girish Kulkarni"", ""Abir Goswami"", ""Madhavi Singh"", ""Anshika Shrivastava"", ""Alia Bhatt""]","[""Anurag Kashyap"", ""Vikas Bahl"", ""Madhu Mantena"", ""Vikramaditya Motwane"", ""Arun Rangachari"", ""Vivek Rangachari""]","[""Anurag Kashyap""]"
Baahubali - The Beginning (Tamil Version),2015,Bollywood,"[""Emraan Hashmi"", ""Vidya Balan"", ""Rajkummar Rao""]","[""Vikram Bhatt""]","[""Mohit Suri""]"
OMG: Oh My God!,2015,Bollywood,"[""Prabhas"", ""Rana Daggubati"", ""Anushka Shetty"", ""Tamannaah"", ""Ramya Krishnan"", ""Sathyaraj""]","[""Prasad Devineni"", ""Shobu Yarlagadda""]","[""S. S. Rajamouli""]"
Mission Kashmir,2012,Bollywood,"[""Akshay Kumar"", ""Paresh Rawal"", ""Mithun Chakraborty""]","[""Akshay Kumar""]","[""Umesh Shukla""]"
Don,2000,Bollywood,"[""Jackie Shroff"", ""Hrithik Roshan"", ""Sanjay Dutt"", ""Preity Zinta"", ""Puru Rajkumar"", ""Sonali Kulkarni""]","[""Vidhu Vinod Chopra""]","[""Vidhu Vinod Chopra""]"
Dhoom,2006,Bollywood,"[""Shah Rukh Khan"", ""Priyanka Chopra"", ""Arjun Rampal"", ""Isha Koppikar"", ""Boman Irani"", ""Om Puri"", ""Kareena Kapoor""]","[""Ritesh Sidhwani""]","[""Farhan Akhtar""]"
Rockstar,2004,Bollywood,"[""Abhishek Bachchan"", ""John Abraham"", ""Uday Chopra"", ""Esha Deol"", ""Rimi Sen""]","[""Aditya Chopra""]","[""Sanjay Gadhvi""]"
Ek Main Aur Ekk Tu,2011,Bollywood,"[""Ranbir Kapoor"", ""Nargis Fakhri"", ""Shammi Kapoor""]",[],"[""Imtiaz Ali""]"
Chance Pe Dance,2012,Bollywood,"[""Imran Khan"", ""Kareena Kapoor"", ""Boman Irani"", ""Ratna Pathak""]","[""Hiroo Johar"", ""Karan Johar""]","[""Shakun Batra""]"
Kabhi Kabhie,2010,Bollywood,"[""Shahid Kapoor"", ""Genelia D'Souza"", ""Mohnish Bahl"", ""Parikshit Sahani""]","[""Ronnie Screwvala""]","[""Ken Ghosh""]"
Main Aur Mrs Khanna,1976,Bollywood,"[""Amitabh Bachchan"", ""Shashi Kapoor"", ""Rakhee"", ""Waheeda Rehman"", ""Rishi Kapoor"", ""Neetu Singh""]","[""Yash Chopra""]","[""Yash Chopra""]"
Dil Bole Hadippa,2015,Bollywood,"[""Salman Khan"", ""Kareena Kapoor"", ""Sohail Khan"", ""Deepika Padukone"", ""Preity Zinta"", ""Nauheed Cyrusi"", ""Dino Morea"", ""Bappi Lahiri""]","[""Sohail Khan""]","[""Prem Soni""]"
Kai po che,2009,Bollywood,"[""Shahid Kapoor"", ""Rani Mukerji""]","[""Aditya Chopra""]","[""Anurag Singh""]"
Kucch Luv Jaisaa,2013,Bollywood,"[""Sushant Singh Rajput"", ""Amit Sadh"", ""Raj Kumar"", ""Amrita Puri"", ""Asif Basra"", ""Digvijay Deshmukh""]","[""Ronnie Screwvala"", ""Siddharth Roy Kapur""]","[""Abhishek Kapoor""]"
Rowdy Rathore,2011,Bollywood,"[""Shefali Shah"", ""Rahul Bose"", ""Sumeet Raghavan"", ""Neetu Chandra""]","[""Vipul Amrutlal Shah""]","[""Barnali Ray Shukla""]"
Vicky Donor,2012,Bollywood,"[""Akshay Kumar"", ""Sonakshi Sinha"", ""Nasser""]","[""Sanjay Leela Bhansali"", ""Ronnie Screwvala""]","[""Prabhudeva""]"
Rocket Singh,2012,Bollywood,"[""Ayushmann Khurana"", ""Yaami Gautam"", ""Annu Kapoor""]","[""Ronnie Lahiri"", ""John Abraham"", ""Sunil Lulla""]","[""Shoojit Sircar""]"
Once Upon a Time in Mumbai Dobaara,2009,Bollywood,"[""Ranbir Kapoor"", ""Shazahn Padamsee"", ""Gauhar Khan"", ""Prem Chopra""]","[""Aditya Chopra""]","[""Shimit Amin""]"
Luv Shuv Tey Chicken Khurana (Subtitled),2013,Bollywood,"[""Akshay Kumar"", ""Imran Khan"", ""Sonakshi Sinha"", ""Sonali Bendre"", ""Sarfaraz Khan"", ""Mahesh Manjrekar"", ""Abhimanyu Singh"", ""Chetan Hansraj"", ""Tiku Talsania""]","[""Ekta Kapoor"", ""Shobha Kapoor""]","[""Milan Luthria""]"
Krrish 3,2012,Bollywood,"[""Kunal Kapoor"", ""Huma Qureshi"", ""Vinod Nagpal"", ""Rajesh Sharma""]","[""Ronnie Screwvala"", ""Siddharth Roy Kapur"", ""Anurag Kashyap""]","[""Sameer Sharma""]"
English Vinglish,2013,Action & Adventure,"[""Hrithik Roshan"", ""Priyanka Chopra"", ""Vivek Oberoi"", ""Kangana Ranaut""]","[""Rakesh Roshan""]","[""Rakesh Roshan""]"
Bol Bachchan,2015,Bollywood,"[""Adil Hussain Khan"", ""Sridevi"", ""Cory Hibbs"", ""Damien Thompson"", ""Maria Romano"", ""Mehdi Nebbou"", ""Priya Anand"", ""Rajeev R."", ""Ruth Aguilar"", ""Sujata Kumar"", ""Sumeet Vyas""]","[""Rakesh Jhunjhunwala"", ""Sunil Lulla""]","[""Gauri Shinde""]"
Desi Boyz,2012,Bollywood,"[""Ajay Devgn"", ""Asin"", ""Prachi Desai"", ""Abhishek Bachchan""]","[""Ajay Devgn"", ""Dhilin Mehta""]","[""Rohit Shetty""]"
Traffic,2013,Bollywood,"[""Satish Kaushik""]","[""Vijay Ahuja"", ""Krishika Lulla"", ""Jyoti Deshpande""]","[""Rohit Dhawan""]"
I Love New Year,2016,Bollywood,"[""Jimmy Shergill"", ""Manoj Bajpayee"", ""Divya Dutta"", ""Prosenjit Chatterjee"", ""Parambrata Chatterjee"", ""Divya Unny"", ""Amol Parashar""]","[""Deepak Dhar"", ""Ram Mirchandani""]","[""Rajesh Pillai""]"
Once Upon a Time In Mumbaai,2015,Bollywood,"[""Sunny Deol"", ""Kangana Ranaut"", ""Tannishtha Chatterjee"", ""Prem Chopra"", ""Navin Chowdhary""]","[""Bhushan Kumar"", ""Krishan Kumar""]","[""Radhika Rao""]"
Kabhi Haan Kabhi Naa,2010,Bollywood,"[""Ajay Devgn"", ""Emraan Hashmi"", ""Kangana Ranaut"", ""Prachi Desai"", ""Randeep Hooda""]","[""Shobha Kapoor"", ""Ekta Kapoor""]","[""Milan Luthria""]"
Ship of Theseus,1994,Bollywood,"[""Shah Rukh Khan"", ""Suchitra Krishnamoorthi"", ""Deepak Tijori"", ""Ashutosh Gowarikar"", ""Kurush Deboo"", ""Aditya Lakhia"", ""Naseeruddin Shah"", ""Satish Shah"", ""Anita Kanwal"", ""Rita Bhaduri"", """", """", """", """", """", """", """"]","[""Vikram Mehrotra""]","[""Kundan Shah""]"
Action Replayy,2015,Bollywood,"[""Aida Elkashef"", ""Neeraj Kabi"", ""Sohum Shah""]","[""Sohum Shah"", ""Mukesh Shah"", ""Amita Shah""]","[""Anand Gandhi""]"
Hum Saath Saath Hain,2010,Bollywood,"[""Akshay Kumar"", ""Aishwarya Rai"", ""Randhir Kapoor""]","[""Vipul Shah""]","[""Vipul Shah""]"
Partner,1999,Bollywood,"[""Salman Khan"", ""Karisma Kapoor"", ""Saif Ali Khan"", ""Tabu"", ""Sonali Bendre"", ""Mohnish Bahl"", ""Mahesh Thakur"", ""Alok Nath""]","[""Kamal Kumar Barjatya"", ""Rajkumar Barjatya"", ""Ajit Kumar Barjatya""]","[""Sooraj R Barjatya""]"
Paan Singh Tomar,2007,Bollywood,"[""Govinda"", ""Salman Khan"", ""Katrina Kaif"", ""Lara Dutta""]","[""Sohail Khan"", ""Parag Sanghvi""]","[""David Dhawan""]"
Dum Laga Ke Haisha,2008,Bollywood,"[""Irrfan Khan"", ""Mahi Gill"", ""Vipin Sharma"", ""Nawazuddin Siddiqui""]","[""Ronnie Screwvala""]","[""Tigmanshu Dhulia""]"
Dabangg 2,2015,Bollywood,"[""Ayushmann Khurrana"", ""Sanjay Mishra"", ""Bhumi Pednekar"", ""Seema Pahwa"", ""Sheeba Chaddha"", ""Kumar Sanu""]","[""Maneesh Sharma""]","[""Sharat Katariya""]"
Ek Villain,2012,Bollywood,"[""Salman Khan"", ""Sonakshi Sinha"", ""Arbaaz Khan"", ""Vinod Khanna"", ""Prakash Raj"", ""Nikitan Dheer"", ""Deepak Dobriyal""]","[""Arbaaz Khan"", ""Malaika Arora Khan""]","[""Arbaaz Khan""]"
Dev D,2014,Bollywood,"[""Shaad Randhawa"", ""Shraddha Kapoor"", ""Aamna Sharif"", ""Sidharth Malhotra"", ""Riteish Deshmukh""]","[""Ekta Kapoor"", ""Shobha Kapoor""]","[""Mohit Suri""]"
Force,2009,Bollywood,"[""Abhay Deol"", ""Mahie Gill"", ""Kalki Koechlin"", ""Dibyendu Bhattacharya""]","[""Ronnie Screwvala""]","[""Anurag Kashyap""]"
R...Rajkumar,2011,Bollywood,"[""John Abraham"", ""Genelia D'Souza"", ""Raj Babbar"", ""Mohnish Bahl"", ""Vidyut Jamwal"", ""Mukesh Rishi""]","[""Vipul Amrutlal Shah""]","[""Nishikant Kamat""]"
City of Life (Director's Cut),2013,Action & Adventure,"[""Shahid Kapoor"", ""Sonakshi Sinha"", ""Sonu Sood"", ""Ashish Vidhyarthi"", ""Srihari""]","[""Viki Rajani"", ""Sunil Lulla""]","[""Prabhu Deva""]"
Saare Jahaan Se Mehenga,2009,Middle Eastern,"[""Natalie Dormer"", ""Alexandra Maria Lara"", ""The Narcicyst"", ""Sonu Sood"", ""Jason Flemyng"", ""Ahmed Ahmed"", ""Saoud Al Kaabi"", ""Javed Jaffrey"", ""Susan George"", ""Habib Ghuloom"", ""Ahmed Abdullah"", """"]","[""Ali F. Mostafa"", ""Tim Smythe"", ""Leigh Clarke"", ""Tanya Wagner""]","[""Ali F. Mostafa""]"
Raja Hindustani,2013,Bollywood,"[""Sanjay Mishra"", ""Vishwa Mohan Badola"", ""Pragati Pandey"", ""Zakir Hussain"", ""Sitaram Panchal""]","[""Ashok Pandey""]","[""Anshul Sharma""]"
Mere Yaar Ki Shaadi Hai,2017,Bollywood,"[""Aamir Khan"", ""Karisma Kapoor"", ""Suresh Oberoi"", ""Archana Puran Singh"", ""Tiku Talsania"", ""Farida Jalal"", ""Pramod Moutho"", ""Mohnish Behl"", ""Johnny Lever"", ""Navneet Nishan"", ""Veeru Krishnan"", """"]","[""Ali Morani"", ""Karim Morani"", ""Bunty Soorma""]","[""Dharmesh Darshan""]"
Veer,2002,Bollywood,"[""Uday Chopra"", ""Bipasha Basu"", ""Sanjana"", ""Jimmy Shergill""]","[""Yash Chopra""]","[""Sanjay Gadhvi""]"
Ragini MMS 2,2010,Bollywood,"[""Salman Khan"", ""Zarine Khan"", ""Mithun Chakraborty"", ""Sohail Khan"", ""Jackie Shroff"", ""Lisa Lazarus""]","[""Vijay Galani""]","[""Anil Sharma""]"
Lootera,2014,Bollywood,"[""Sunny Leone"", ""Saahil Prem"", ""Parvin Dabas"", ""Sandhya Mridul"", ""Karan Mehra"", ""Anita Hassanandani"", ""Divya Dutta"", ""Soniya Mehra"", ""Karan Taluja"", ""Kainaz Motivala""]","[""Ekta Kapoor"", ""Shobha Kapoor""]","[""Bhushan Patel""]"
Kambakkht Ishq,2013,Drama,"[""Ranveer Singh"", ""Sonakshi Sinha"", ""Adil Hussain Khan""]","[""Anurag Kashyap"", ""Ekta Kapoor"", ""Shobha Kapoor""]","[""Vikramaditya Motwane""]"
1942: A Love Story,2009,Bollywood,"[""Akshay Kumar"", ""Kareena Kapoor"", ""Aftab Shivdasani"", ""Amrita Arora"", ""Kiron Kher"", ""Vindu Dara Singh"", ""Holly Valance""]","[""Sajid Nadiadwala""]","[""Sabbir Khan""]"
Satyagraha,2013,Action & Adventure,"[""Danny Denzongpa"", ""Manisha Koirala"", ""Jackie Shroff"", ""Anil Kapoor"", ""Anupam Kher""]","[""Vidhu Vinod Chopra""]","[""Vidhu Vinod Chopra""]"
Kabali,2013,Bollywood,"[""Kareena Kapoor"", ""Amitabh Bachchan"", ""Ajay Devgn"", ""Arjun Rampal"", ""Amrita Rao"", ""Manoj Bajpayee"", ""Vipin Sharma"", ""Ajay Trehan"", ""Mukul Chadda""]","[""Prakash Jha"", ""Ronnie Screwvala"", ""Siddharth Roy Kapur""]","[""Prakash Jha""]"
Azhar,2016,Regional Indian,"[""Rajinikanth"", ""Radhika Apte"", ""Dhansika"", ""Winston Chao"", ""Nasser"", ""John Vijay"", ""Riythvika""]","[""Kalaipuli S. Thanu""]","[""Pa. Ranjith""]"
Teri Meri Kahaani,2016,Drama,"[""Emraan Hashmi"", ""Nargis Fakhri"", ""Prachi Desai"", ""Lara Dutta"", ""Kunaal Roy Kapur"", ""Gautam Gulati"", ""Manjot Singh"", ""Karanvir Sharma"", ""Rajesh Sharma"", ""Varun Badola"", ""Kulbhushan Kharbanda""]","[""Ekta Kapoor"", ""Shobha Kapoor"", ""Sony Pictures Networks""]","[""Tony D'Souza""]"
English Babu Desi Mem,2012,Bollywood,"[""Shahid Kapoor"", ""Priyanka Chopra"", ""Prachi Desai"", ""Neha Sharma""]","[""Kunal Kohli"", ""Sunil Lulla"", ""Vicky Bahri""]","[""Kunal Kohli""]"
Entertainment,1996,Bollywood,"[""Shah Rukh Khan"", ""Sonali Bendre"", ""Saeed Jaffrey"", ""Sunny Singh"", ""Kiran Kumar"", ""Sudhir Dalvi"", ""Vivek Vaswani"", ""Mushtaq Khan"", ""Anju Mahendru""]","[""Praveen Nischol""]","[""Praveen Nischol""]"
Salaam-e-Ishq,2014,Bollywood,"[""Akshay Kumar"", ""Tamannaah Bhatia"", ""Johny Lever"", ""Krishna Abhishek"", ""Mithun Chakraborty"", ""Prakash Raj"", ""Sonu Sood"", ""Dalip Tahil"", ""Riteish Deshmukh"", ""Shreyas Talpade"", ""Remo Dsouza"", ""Darshan Jariwala""]","[""Ramesh S Taurani"", ""Jayantilal Gada""]","[""Sajid"", ""Farhad""]"
I Am Kalam,2007,Bollywood,"[""Salman Khan"", ""Priyanka Chopra"", ""Ayesha Takia"", ""Anil Kapoor"", ""Govinda""]","[""Sunil Manchanda"", ""Mukesh Talreja""]","[""Nikhil Advani""]"
No One Killed Jessica,2011,Bollywood,"[""Gulshan Grover"", ""Harsh Mayar"", ""Hussan Saad"", ""Pitobash Tripathy"", ""Beatrice Ordeix"", ""Sanjay Chauhan"", ""Meena Mir""]","[""Santanu Mishra""]","[""Nila Madhab Panda""]"
The Attacks Of 26/11,2011,Bollywood,"[""Rani Mukerji"", ""Vidya Balan""]","[""Ronnie Screwvala""]","[""Raj Kumar Gupta""]"
Salaam Namaste,2013,Bollywood,"[""Nana Patekar"", ""Sanjeev Jaiswal"", ""Atul Kulkarni"", ""Ganesh Yadav""]","[""Parag Sanghavi""]","[""Ram Gopal Varma""]"
Jackpot,2005,Bollywood,"[""Saif Ali Khan"", ""Preity Zinta""]","[""Aditya Chopra""]","[""Siddharth Raj Anand""]"
Singham Returns,2013,Bollywood,"[""Naseeruddin Shah"", ""Sunny Leone"", ""Sachiin Joshi"", ""Bharath"", ""Makrand Deshpande""]","[""Raina Sachiin Joshi""]","[""Kaizad Gustad""]"
New York,2014,Action & Adventure,"[""Daya Shetty"", ""Amol Gupte"", ""Anupam Kher"", ""Mahesh Manjrekar"", ""Sharat Saxena"", ""Kareena Kapoor"", ""Ajay Devgn""]","[""Ajay Devgn"", ""Rohit Shetty""]","[""Rohit Shetty""]"
Shootout at Lokhandwala,2009,Bollywood,"[""John Abraham"", ""Neil Nitin Mukesh"", ""Katrina Kaif""]","[""Aditya Chopra""]","[""Kabir Khan""]"
Oh Darling Yeh Hai India,2007,Bollywood,"[""Vivek Oberoi"", ""Amitabh Bachchan"", ""Sanjay Dutt"", ""Suniel Shetty"", ""Arbaaz Khan"", ""Tusshar Kapoor"", ""Rohit Roy"", ""Shabbir Ahluwalia"", ""Aditya Lakhia"", ""Ravi Gosain"", ""Dia Mirza"", ""Neha Dhupia"", """"]","[""Sanjay Gupta"", ""Ekta Kapoor"", ""Shobha Kapoor""]","[""Apoorva Lakhia""]"
De Dana Dan,1995,Bollywood,"[""Shah Rukh Khan"", ""Deepa Sahi"", ""Amrish Puri"", ""Jaaved Jaaferi"", ""Anupam Kher"", ""Prashant Narayanan"", ""Kader Khan"", ""Tom Alter"", ""Tinu Anand"", ""Shadashiv Amrapurkar"", """", """", """"]","[""Ketan Mehta""]","[""Ketan Mehta""]"
Aaja Nachle,2009,Comedy,"[""Akshay Kumar"", ""Suniel Shetty"", ""Katrina Kaif"", ""Sameera Reddy"", ""Paresh Rawal"", ""Neha Dhupia"", ""Chunky Panday"", ""Asrani"", ""Johny Lever"", ""Shakti Kapoor"", ""Rajpal Yadav""]","[""Ganesh Jain"", ""Girish Jain""]","[""Priyadarshan""]"
I See You,2007,Bollywood,"[""Madhuri Dixit""]","[""Aditya Chopra""]","[""Anil Mehta""]"
Silsila,2006,Bollywood,"[""Arjun Rampal"", ""Vipasha Agarwal"", ""Boman Irani"", ""Chunky Pandey"", ""Sonali Kulkarni"", ""Kirron Kher"", ""Sophie Choudry""]","[""Mehr Rampal""]","[""Vivek Agrawal""]"
Bluffmaster,1981,Bollywood,"[""Amitabh Bachchan"", ""Jaya Bachchan"", ""Rekha"", ""Shashi Kapoor""]","[""Yash Chopra""]","[""Yash Chopra""]"
Dil Chahta Hai,2005,Comedy,"[""Riteish Deshmukh"", ""Nana Patekar"", ""Priyanka Chopra"", ""Abhishek Bachchan"", ""Boman Irani""]","[""Ramesh Sippy""]","[""Rohan Sippy""]"
Race,2001,Bollywood,"[""Aamir Khan"", ""Saif Ali Khan"", ""Akshaye Khanna"", ""Preity Zinta""]","[""Ritesh Sidhwani""]","[""Farhan Akhtar""]"
Alone,2008,Bollywood,"[""Anil Kapoor"", ""Saif Ali Khan"", ""Katrina Kaif"", ""Akshaye Khanna"", ""Sameera Reddy"", ""Bipasha Basu"", ""Dalip Tahil"", ""Johnny Lever""]","[""Kumar S Taurani"", ""Ramesh S Taurani""]","[""Abbas Mustan""]"
Kismat Konnection,2015,Bollywood,"[""Bipasha Basu"", ""Karan Singh Grover""]","[""Kumar Mangat Pathak"", ""Abhishek Pathak""]","[""Bhushan Patel""]"
