Scraped date,Type,Movie Title,Release Year,Hash,Cast
01-01-2018,Recently Added,The Congressman,2016,"{""amazon""=>[""B01FYLYVNG""], ""vudu""=>[""759412""]}","["""", ""Treat Williams"", ""Jayne Atkinson"", ""Marshall Bell""]"
01-01-2018,Recently Added,Garden of Evil,1954,"{""amazon""=>[""B078MVWPV4""]}","[""Henry Hathaway"", ""Gary Cooper"", ""Susan Hayward"", ""Richard Widmark"", ""Hugh Marlowe"", ""Cameron Mitchell"", ""Rita Moreno"", ""Víctor Manuel Mendoza""]"
01-01-2018,Recently Added,Fix,2009,"{""amazon""=>[""B078PJFLJS""], ""itunes""=>[""643159259""]}","[""Tao Ruspoli"", ""Shawn Andrews"", ""Olivia Wilde"", ""Megalyn Echikunwoke"", ""Dedee Pfeiffer"", ""Tao Ruspoli"", ""Frank Alvarez"", ""Aesop Aquarian"", ""Ian Duncan"", ""Andrew Fiscella"", ""Randall Park"", ""Pollyanna Rose"", ""Ric Sarabia""]"
01-01-2018,Recently Added,Ties That Bind,2010,"{""amazon""=>[""B078PJWTH2""]}","[""Frédéric D'Amours"", ""Kristanna Loken"", ""Warren Christie"", ""Kristen Hager"", ""Luis Oliva"", ""Angela Asher"", ""Danny Blanco Hall"", ""Linda Smith"", ""Neil Kroetsch"", ""Jude Beny"", ""Domini Blythe"", ""Lina Roessler""]"
01-01-2018,Recently Added,Breaker,2017,"{""amazon""=>[""B078P4JC8V""]}","[""Philippe McKie""]"
01-01-2018,Recently Added,A Girl and a Gun,2013,"{""amazon""=>[""B078PNWK2R""]}","[""Cathryne Czubek""]"
01-01-2018,Recently Added,Last Will & Testament,2012,"{""amazon""=>[""B078PJJBR3""], ""itunes""=>[""1250305798""]}","["""", ""Jonathan Bate"", ""Charles Beauclerk"", ""William Boyle"", ""Michael Cecil"", ""Jon Culverhouse"", ""Michael Delahoyde"", ""Derek Jacobi"", ""William Leahy"", ""Gerald J. Meyer"", ""Charlton Ogburn""]"
01-01-2018,Recently Added,Grinders,2011,"{""amazon""=>[""B078PNFSP6""], ""itunes""=>[""596201886""]}","[""Matt Gallagher""]"
01-01-2018,Recently Added,Moonwalker,1988,"{""amazon""=>[""B078P994JJ""]}","["""", ""Michael Jackson"", ""Joe Pesci"", ""Mick Jagger"", ""Sean Lennon"", ""Brandon Quintin Adams"", ""Maurissa Tancharoen"", ""Kellie Parker"", ""Ben Aaron"", ""Bilal"", ""Brent Kelly"", ""Danial Brown"", ""Cindera Che""]"
01-01-2018,Recently Added,Preggoland,2014,"{""amazon""=>[""B078Q55TLL"", ""B00XBUFM0O""], ""vudu""=>[""668272""]}","[""Jacob Tierney"", ""Sonja Bennett"", ""James Caan"", ""Danny Trejo"", ""Paul Campbell"", ""Laura Harris"", ""Jared Keeso"", ""Lisa Durupt"", ""Carrie Ruscheinsky"", ""Iain Belcher"", ""Toby Hargrave"", ""Fabiola Colmenero"", ""Denise Jones""]"
