Despicable Me,Average Rating: 6.8/10,2010,"{""itunes""=>[""387548805""]}",Kids & Family,"[""Steve Carell"", ""Jason Segel"", ""Russell Brand"", ""Kristen Wiig"", ""Miranda Cosgrove"", ""Will Arnett"", ""Danny McBride"", ""Jack McBrayer"", ""Julie Andrews""]","[""Chris Meledandri"", ""Janet Healy"", ""John Cohen""]","[""Chris Renaud"", ""Pierre Coffin""]"
Kingsman: The Golden Circle,Average Rating: 5.3/10,2017,"{""itunes""=>[""1281206636""]}",Action & Adventure,"[""Colin Firth"", ""Julianne Moore"", ""Taron Egerton"", ""Mark Strong"", ""Halle Berry"", ""Sir Elton John"", ""Channing Tatum"", ""Jeff Bridges""]","[""Matthew Vaughn"", ""David Reid"", ""Adam Bohling""]","[""Matthew Vaughn""]"
Blade Runner 2049,Average Rating: 8.2/10,2017,"{""itunes""=>[""1288813671""]}",Action & Adventure,"[""Ryan Gosling"", ""Harrison Ford"", ""Ana de Armas"", ""Sylvia Hoeks"", ""Robin Wright"", ""Mackenzie Davis"", ""Carla Juri"", ""Lennie James"", ""Dave Bautista"", ""Jared Leto""]","[""Andrew A. Kosove"", ""Broderick Johnson"", ""Bud Yorkin"", ""Cynthia Sikes Yorkin""]","[""Denis Villeneuve""]"
Kingsman: The Secret Service,Average Rating: 6.8/10,2015,"{""itunes""=>[""957056432""]}",Action & Adventure,"[""Colin Firth"", ""Samuel L. Jackson"", ""Mark Strong"", ""Taron Egerton"", ""Michael Caine""]",[],"[""Matthew Vaughn""]"
The Lord of the Rings: The Return of the King,Average Rating: 8.7/10,2003,"{""itunes""=>[""297709333""]}",Action & Adventure,"[""Orlando Bloom"", ""Cate Blanchett"", ""Sean Astin"", ""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""John Rhys-Davies"", ""Bernard Hill"", ""Billy Boyd"", ""Dominic Monaghan"", ""Brad Dourif"", """", """", """", """", """", """", """", """", """", """"]",[],"[""Peter Jackson""]"
Skyfall,Average Rating: 8.2/10,2012,"{""itunes""=>[""588124375""]}",Action & Adventure,"[""Daniel Craig"", ""Judi Dench"", ""Javier Bardem"", ""Ralph Fiennes"", ""Naomie Harris"", ""Bérénice Lim Marlohe""]",[],"[""Sam Mendes""]"
The Avengers,Average Rating: 8.0/10,2012,"{""itunes""=>[""533654020""]}",Action & Adventure,"[""Robert Downey Jr."", ""Chris Evans"", ""Mark Ruffalo"", ""Chris Hemsworth"", ""Scarlett Johansson"", ""Jeremy Renner"", ""Tom Hiddleston"", ""Clark Gregg"", ""Cobie Smulders"", ""Stellan Skarsgård""]","[""Kevin Feige""]","[""Joss Whedon""]"
The Hunger Games,Average Rating: 7.2/10,2012,"{""itunes""=>[""521035514""]}",Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Stanley Tucci"", ""Donald Sutherland""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Gary Ross""]"
Interstellar,Average Rating: 7.0/10,2014,"{""itunes""=>[""960891136""]}",Sci-Fi & Fantasy,"[""Matthew McConaughey"", ""Anne Hathaway"", ""Jessica Chastain"", ""Bill Irwin"", ""Ellen Burstyn"", ""Michael Caine""]","[""Christopher Nolan"", ""Emma Thomas"", ""Lynda Obst"", ""Jordan Goldberg"", ""Jake Myers"", ""Kip Thorne"", ""Thomas Tull""]","[""Christopher Nolan""]"
The LEGO Movie,Average Rating: 8.2/10,2014,"{""itunes""=>[""805178535""]}",Kids & Family,"[""Chris Pratt"", ""Will Ferrell"", ""Elizabeth Banks"", ""Will Arnett"", ""Nick Offerman"", ""Alison Brie"", ""Charlie Day"", ""Liam Neeson"", ""Morgan Freeman""]","[""Dan Lin"", ""Roy Lee""]","[""Phil Lord"", ""Christopher Miller""]"
